Year,Total PRs,Total Births,Total TRs,Province,Population Estimate,Total Deaths
2011,0.0,264582.0,67050.0,British Columbia,4482262,63932.0
2011,0.0,2269536.0,248440.0,Canada,34474000,487022.0
2011,0.0,93746.0,6480.0,Manitoba,1227210,20500.0
2011,0.0,42754.0,3780.0,New Brunswick,754795,12822.0
2011,0.0,26854.0,1915.0,Newfoundland and Labrador,523723,9054.0
2011,0.0,4158.0,25.0,Northwest Territories,43265,376.0
2011,0.0,0.0,0.0,Northwest Territories including Nunavut,43576,0.0
2011,0.0,53306.0,8860.0,Nova Scotia,944082,17066.0
2011,0.0,5008.0,0.0,Nunavut,33736,342.0
2011,0.0,846988.0,101765.0,Ontario,13199081,179952.0
2011,0.0,8634.0,780.0,Prince Edward Island,143016,2506.0
2011,0.0,0.0,0.0,Province / Territory not stated,144283,0.0
2011,0.0,528864.0,35370.0,Quebec,7967270,119078.0
2011,0.0,85832.0,4635.0,Saskatchewan,1058969,18524.0
2011,0.0,0.0,0.0,Unknown province or territory,1069950,0.0
2011,0.0,0.0,0.0,Unknown province or territory of residence,1069950,0.0
2011,0.0,2580.0,45.0,Yukon,34802,386.0
2012,0.0,315728.0,19305.0,Alberta,3822425,44002.0
2012,0.0,264136.0,70140.0,British Columbia,4539775,65048.0
2012,0.0,98148.0,7955.0,Manitoba,1241417,20124.0
2012,0.0,42336.0,4115.0,New Brunswick,757039,12886.0
2012,0.0,26288.0,2300.0,Newfoundland and Labrador,526115,9270.0
2012,0.0,4092.0,30.0,Northwest Territories,43630,400.0
2012,0.0,0.0,0.0,Northwest Territories including Nunavut,43656,0.0
2012,0.0,52706.0,10250.0,Nova Scotia,943907,16830.0
2012,0.0,5126.0,0.0,Nunavut,34403,322.0
2012,0.0,854428.0,114335.0,Ontario,13325337,181480.0
2012,0.0,7890.0,880.0,Prince Edward Island,144208,2462.0
2012,0.0,0.0,0.0,Province / Territory not stated,144396,0.0
2012,0.0,533200.0,39845.0,Quebec,8028516,121548.0
2012,0.0,89056.0,5480.0,Saskatchewan,1073565,18408.0
2012,0.0,0.0,0.0,Unknown province or territory,1088177,0.0
2012,0.0,0.0,0.0,Unknown province or territory of residence,1088177,0.0
2012,0.0,2610.0,50.0,Yukon,35695,412.0
2013,0.0,320362.0,21840.0,Alberta,3917941,45688.0
2013,0.0,262522.0,74065.0,British Columbia,4602742,66400.0
2013,0.0,98798.0,9470.0,Manitoba,1256879,20190.0
2013,0.0,41736.0,4575.0,New Brunswick,758026,13254.0
2013,0.0,27214.0,2485.0,Newfoundland and Labrador,527129,9674.0
2013,0.0,3984.0,35.0,Northwest Territories,43709,398.0
2013,0.0,0.0,0.0,Northwest Territories including Nunavut,43727,0.0
2013,0.0,50644.0,10885.0,Nova Scotia,942045,17756.0
2013,0.0,5554.0,5.0,Nunavut,34963,388.0
2013,0.0,841240.0,127540.0,Ontario,13446276,186686.0
2013,0.0,8452.0,1035.0,Prince Edward Island,144041,2568.0
2013,0.0,0.0,0.0,Province / Territory not stated,143943,0.0
2013,0.0,532780.0,43180.0,Quebec,8081006,122578.0
2013,0.0,88732.0,6385.0,Saskatchewan,1090738,18666.0
2013,0.0,0.0,0.0,Unknown province or territory,1102832,0.0
2013,0.0,0.0,0.0,Unknown province or territory of residence,1102832,0.0
2013,0.0,2376.0,30.0,Yukon,36299,430.0
