Year,Province,Both sexes,Female,Male,Age 0-14,Age 15-64,Age 65+,Average Age
2001,Prince Edward Island,135290.0,69540.0,65750.0,26650.0,90075.0,18570.0,38.0
2001,Quebec,7237480.0,3704635.0,3532845.0,1291580.0,4986085.0,959815.0,38.6
2001,Saskatchewan,978930.0,497180.0,481755.0,207225.0,624140.0,147570.0,37.5
2001,Yukon,28675.0,14230.0,14445.0,6035.0,20910.0,1730.0,34.6
2002,Alberta,3037914.0,1519287.0,1518632.0,620375.0,2100136.0,317402.0,35.72
2002,British Columbia,3948889.0,2010808.0,1938078.0,700777.0,2701679.0,546430.0,38.82
2002,Canada,30328251.0,15467577.0,14860674.0,5696396.0,20653969.0,3977890.0,37.980000000000004
2002,Manitoba,1125344.0,573013.0,552335.0,232007.0,735832.0,157514.0,37.6
2002,New Brunswick,729600.0,373132.0,356464.0,127726.0,501194.0,100671.0,39.0
2002,Newfoundland and Labrador,511438.0,261519.0,249919.0,86661.0,360279.0,64501.0,38.68
2002,Northwest Territories,38181.0,18643.0,19537.0,10071.0,26410.0,1703.0,30.82
2002,Nova Scotia,909100.0,469862.0,439238.0,161307.0,618894.0,128895.0,39.199999999999996
2002,Nunavut,27290.0,13197.0,14094.0,9941.0,16712.0,642.0,25.34
2002,Ontario,11560092.0,5912304.0,5647788.0,2228360.0,7824165.0,1507572.0,37.74
2002,Prince Edward Island,135402.0,69683.0,65719.0,26117.0,90397.0,18893.0,38.38
2002,Quebec,7299210.0,3735395.0,3563815.0,1283765.0,5031535.0,983910.0,38.9
2002,Saskatchewan,976776.0,496328.0,480452.0,203319.0,625543.0,147917.0,37.78
2002,Yukon,29014.0,14402.0,14613.0,5971.0,21202.0,1841.0,35.02
2003,Alberta,3101023.0,1550354.0,1550674.0,623160.0,2151457.0,326404.0,35.94
2003,British Columbia,3990038.0,2032981.0,1957056.0,695484.0,2734778.0,559775.0,39.14
2003,Canada,30649412.0,15634914.0,15014498.0,5667257.0,20914928.0,4067230.0,38.260000000000005
2003,Manitoba,1131108.0,576041.0,555070.0,230299.0,742209.0,158608.0,37.8
2003,New Brunswick,729700.0,373474.0,356223.0,125357.0,501923.0,102412.0,39.4
2003,Newfoundland and Labrador,509946.0,261073.0,248873.0,84552.0,359453.0,65942.0,39.160000000000004
2003,Northwest Territories,39002.0,19041.0,19959.0,10032.0,27200.0,1771.0,31.14
2003,Nova Scotia,910190.0,470804.0,439386.0,157589.0,621373.0,131225.0,39.599999999999994
2003,Nunavut,27835.0,13489.0,14348.0,9957.0,17199.0,684.0,25.580000000000002
2003,Ontario,11710139.0,5991623.0,5718516.0,2223970.0,7943200.0,1542974.0,37.980000000000004
2003,Prince Edward Island,135514.0,69826.0,65688.0,25584.0,90719.0,19216.0,38.76
2003,Quebec,7360940.0,3766155.0,3594785.0,1275950.0,5076985.0,1008005.0,39.2
2003,Saskatchewan,974622.0,495476.0,479149.0,199413.0,626946.0,148264.0,38.06
2003,Yukon,29353.0,14574.0,14781.0,5907.0,21494.0,1952.0,35.440000000000005
2004,Alberta,3164132.0,1581421.0,1582716.0,625945.0,2202778.0,335406.0,36.160000000000004
2004,British Columbia,4031187.0,2055154.0,1976034.0,690191.0,2767877.0,573120.0,39.46
2004,Canada,30970573.0,15802251.0,15168322.0,5638118.0,21175887.0,4156570.0,38.54
2004,Manitoba,1136872.0,579069.0,557805.0,228591.0,748586.0,159702.0,38.0
2004,New Brunswick,729800.0,373816.0,355982.0,122988.0,502652.0,104153.0,39.800000000000004
2004,Newfoundland and Labrador,508454.0,260627.0,247827.0,82443.0,358627.0,67383.0,39.64
2004,Northwest Territories,39823.0,19439.0,20381.0,9993.0,27990.0,1839.0,31.46
2004,Nova Scotia,911280.0,471746.0,439534.0,153871.0,623852.0,133555.0,40.0
2004,Nunavut,28380.0,13781.0,14602.0,9973.0,17686.0,726.0,25.82
2004,Ontario,11860186.0,6070942.0,5789244.0,2219580.0,8062235.0,1578376.0,38.22
2004,Prince Edward Island,135626.0,69969.0,65657.0,25051.0,91041.0,19539.0,39.14
2004,Quebec,7422670.0,3796915.0,3625755.0,1268135.0,5122435.0,1032100.0,39.5
2004,Saskatchewan,972468.0,494624.0,477846.0,195507.0,628349.0,148611.0,38.339999999999996
2004,Yukon,29692.0,14746.0,14949.0,5843.0,21786.0,2063.0,35.86
2005,Alberta,3227241.0,1612488.0,1614758.0,628730.0,2254099.0,344408.0,36.38
2005,British Columbia,4072336.0,2077327.0,1995012.0,684898.0,2800976.0,586465.0,39.78
2005,Canada,31291734.0,15969588.0,15322146.0,5608979.0,21436846.0,4245910.0,38.82
2005,Manitoba,1142636.0,582097.0,560540.0,226883.0,754963.0,160796.0,38.199999999999996
2005,New Brunswick,729900.0,374158.0,355741.0,120619.0,503381.0,105894.0,40.2
2005,Newfoundland and Labrador,506962.0,260181.0,246781.0,80334.0,357801.0,68824.0,40.120000000000005
2005,Northwest Territories,40644.0,19837.0,20803.0,9954.0,28780.0,1907.0,31.78
2005,Nova Scotia,912370.0,472688.0,439682.0,150153.0,626331.0,135885.0,40.4
2005,Nunavut,28925.0,14073.0,14856.0,9989.0,18173.0,768.0,26.060000000000002
2005,Ontario,12010233.0,6150261.0,5859972.0,2215190.0,8181270.0,1613778.0,38.46
2005,Prince Edward Island,135738.0,70112.0,65626.0,24518.0,91363.0,19862.0,39.519999999999996
2005,Quebec,7484400.0,3827675.0,3656725.0,1260320.0,5167885.0,1056195.0,39.800000000000004
2005,Saskatchewan,970314.0,493772.0,476543.0,191601.0,629752.0,148958.0,38.62
