REF_DATE,GEO,Number_of_Households
1980-08-01,Alberta,739
1980-08-01,British Columbia,990
1980-08-01,Manitoba,355
1980-08-01,New Brunswick,213
1980-08-01,Newfoundland and Labrador,147
1980-08-01,Ontario,2960
1980-08-01,Prince Edward Island,37
1980-08-01,Quebec,2156
1980-08-01,Canada,8194
1980-09-01,Alberta,739
1980-09-01,British Columbia,990
1980-09-01,Manitoba,355
1980-09-01,New Brunswick,213
1980-09-01,Newfoundland and Labrador,147
1980-09-01,Ontario,2960
1980-09-01,Prince Edward Island,37
1980-09-01,Quebec,2156
1980-09-01,Canada,8194
1980-10-01,Alberta,739
1980-10-01,British Columbia,990
1980-10-01,Manitoba,355
1980-10-01,New Brunswick,213
1980-10-01,Newfoundland and Labrador,147
1980-10-01,Ontario,2960
1980-10-01,Prince Edward Island,37
1980-10-01,Quebec,2156
1980-10-01,Canada,8194
1980-11-01,Alberta,739
1980-11-01,British Columbia,990
1980-11-01,Manitoba,355
1980-11-01,New Brunswick,213
1980-11-01,Newfoundland and Labrador,147
1980-11-01,Ontario,2960
1980-11-01,Prince Edward Island,37
1980-11-01,Quebec,2156
1980-11-01,Canada,8194
1980-12-01,Alberta,739
1980-12-01,British Columbia,990
1980-12-01,Manitoba,355
1980-12-01,New Brunswick,213
1980-12-01,Newfoundland and Labrador,147
1980-12-01,Ontario,2960
1980-12-01,Prince Edward Island,37
1980-12-01,Quebec,2156
1980-12-01,Canada,8194
1981-01-01,Alberta,777
1981-01-01,British Columbia,1025
1981-01-01,Manitoba,361
1981-01-01,New Brunswick,218
1981-01-01,Newfoundland and Labrador,151
1981-01-01,Ontario,3030
1981-01-01,Prince Edward Island,38
1981-01-01,Quebec,2209
1981-01-01,Canada,8420
1981-02-01,Alberta,777
1981-02-01,British Columbia,1025
1981-02-01,Manitoba,361
1981-02-01,New Brunswick,218
1981-02-01,Newfoundland and Labrador,151
1981-02-01,Ontario,3030
1981-02-01,Prince Edward Island,38
1981-02-01,Quebec,2209
1981-02-01,Canada,8420
1981-03-01,Alberta,777
1981-03-01,British Columbia,1025
1981-03-01,Manitoba,361
1981-03-01,New Brunswick,218
1981-03-01,Newfoundland and Labrador,151
1981-03-01,Ontario,3030
1981-03-01,Prince Edward Island,38
1981-03-01,Quebec,2209
1981-03-01,Canada,8420
1981-04-01,Alberta,777
1981-04-01,British Columbia,1025
1981-04-01,Manitoba,361
1981-04-01,New Brunswick,218
1981-04-01,Newfoundland and Labrador,151
1981-04-01,Ontario,3030
1981-04-01,Prince Edward Island,38
1981-04-01,Quebec,2209
1981-04-01,Canada,8420
1981-05-01,Alberta,777
1981-05-01,British Columbia,1025
1981-05-01,Manitoba,361
1981-05-01,New Brunswick,218
1981-05-01,Newfoundland and Labrador,151
1981-05-01,Ontario,3030
1981-05-01,Prince Edward Island,38
1981-05-01,Quebec,2209
1981-05-01,Canada,8420
1981-06-01,Alberta,777
1981-06-01,British Columbia,1025
1981-06-01,Manitoba,361
