,REF_DATE,GEO,Number_of_Households,Housing completions,Housing starts,Housing under construction,House only NHPI,Land only NHPI,Total (house and land) NHPI
291,1978-10-01,New Brunswick,204,4285.0,2682.3,4468.0,,,
292,1978-10-01,Newfoundland and Labrador,140,3354.0,2243.0,7798.0,,,
293,1978-10-01,Ontario,2821,54246.0,52700.8,181600.0,,,
294,1978-10-01,Prince Edward Island,35,740.0,731.9,1278.0,,,
295,1978-10-01,Quebec,2049,31152.0,24898.3,63915.0,,,
296,1978-10-01,Canada,7744,164251.0,150241.0,438258.0,,,
297,1978-11-01,Alberta,662,10266.0,7534.234782608696,22987.869565217392,,,
298,1978-11-01,British Columbia,921,11157.0,8379.869565217392,25495.739130434784,,,
299,1978-11-01,Manitoba,344,12939.0,10071.139130434782,30511.478260869568,,,
300,1978-11-01,New Brunswick,204,13830.0,10916.773913043478,33019.34782608696,,,
301,1978-11-01,Newfoundland and Labrador,140,14721.0,11762.408695652171,35527.21739130435,,,
302,1978-11-01,Ontario,2821,16503.0,13453.678260869565,40542.956521739135,,,
303,1978-11-01,Prince Edward Island,35,17394.0,14299.313043478262,43050.82608695653,,,
304,1978-11-01,Quebec,2049,18285.0,15144.947826086956,45558.69565217392,,,
305,1978-11-01,Canada,7744,12048.0,9225.504347826089,28003.608695652176,,,
306,1978-12-01,Alberta,662,20067.0,16836.217391304344,50574.434782608696,,,
307,1978-12-01,British Columbia,921,20958.0,17681.852173913045,53082.30434782609,,,
308,1978-12-01,Manitoba,344,22740.0,19373.121739130434,58098.04347826087,,,
309,1978-12-01,New Brunswick,204,23631.0,20218.75652173913,60605.91304347826,,,
310,1978-12-01,Newfoundland and Labrador,140,24522.0,21064.391304347824,63113.782608695656,,,
311,1978-12-01,Ontario,2821,26304.0,22755.660869565218,68129.52173913043,,,
312,1978-12-01,Prince Edward Island,35,27195.0,23601.29565217391,70637.39130434784,,,
313,1978-12-01,Quebec,2049,28086.0,24446.930434782604,73145.26086956522,,,
314,1978-12-01,Canada,7744,21849.0,18527.486956521738,55590.17391304348,,,
315,1979-01-01,Alberta,701,29868.0,26138.2,78161.0,,,
316,1979-01-01,British Columbia,955,13961.0,11022.5,34299.0,,,
317,1979-01-01,Manitoba,349,6905.0,3447.9,18960.0,,,
318,1979-01-01,New Brunswick,208,1951.0,536.3,3447.0,,,
319,1979-01-01,Newfoundland and Labrador,144,1439.0,616.6,4073.0,,,
320,1979-01-01,Ontario,2891,41382.0,18547.3,157108.0,,,
321,1979-01-01,Prince Edward Island,36,743.0,595.9,1115.0,,,
322,1979-01-01,Quebec,2103,22873.0,13871.8,53810.0,,,
323,1979-01-01,Canada,7970,128103.0,82875.4,384763.0,,,
324,1979-02-01,Alberta,701,6105.04347826087,7014.017391304348,23812.260869565216,,,
325,1979-02-01,British Columbia,955,6979.086956521739,7805.934782608696,26205.52173913044,,,
326,1979-02-01,Manitoba,349,8727.173913043478,9389.769565217392,30992.04347826087,,,
327,1979-02-01,New Brunswick,208,9601.217391304348,10181.686956521738,33385.30434782609,,,
328,1979-02-01,Newfoundland and Labrador,144,10475.260869565218,10973.604347826087,35778.565217391304,,,
329,1979-02-01,Ontario,2891,12223.347826086956,12557.439130434785,40565.08695652174,,,
330,1979-02-01,Prince Edward Island,36,13097.391304347828,13349.35652173913,42958.34782608696,,,
331,1979-02-01,Quebec,2103,13971.434782608696,14141.273913043478,45351.608695652176,,,
332,1979-02-01,Canada,7970,7853.130434782609,8597.852173913045,28598.78260869565,,,
333,1979-03-01,Alberta,701,15719.521739130436,15725.108695652174,50138.13043478261,,,
334,1979-03-01,British Columbia,955,16593.565217391304,16517.026086956525,52531.391304347824,,,
335,1979-03-01,Manitoba,349,18341.652173913044,18100.86086956521,57317.91304347826,,,
336,1979-03-01,New Brunswick,208,19215.695652173912,18892.778260869563,59711.17391304348,,,
337,1979-03-01,Newfoundland and Labrador,144,20089.739130434784,19684.695652173912,62104.434782608696,,,
338,1979-03-01,Ontario,2891,21837.826086956524,21268.53043478261,66890.95652173914,,,
339,1979-03-01,Prince Edward Island,36,22711.869565217392,22060.44782608696,69284.21739130435,,,
340,1979-03-01,Quebec,2103,23585.913043478264,22852.365217391307,71677.47826086957,,,
341,1979-03-01,Canada,7970,17467.608695652176,17308.94347826087,54924.65217391305,,,
342,1979-04-01,Alberta,701,25334.0,24436.2,76464.0,,,
343,1979-04-01,British Columbia,955,15747.0,15545.2,33820.0,,,
344,1979-04-01,Manitoba,349,5154.0,4489.5,18293.0,,,
345,1979-04-01,New Brunswick,208,1540.0,4405.1,6168.0,,,
346,1979-04-01,Newfoundland and Labrador,144,1595.0,2259.5,5612.0,,,
347,1979-04-01,Ontario,2891,43294.0,36602.7,150088.0,,,
348,1979-04-01,Prince Edward Island,36,279.0,540.6,1356.0,,,
349,1979-04-01,Quebec,2103,26392.0,34435.3,61505.0,,,
350,1979-04-01,Canada,7970,128592.0,132338.4,386568.0,,,
351,1979-05-01,Alberta,701,7996.0,7091.634782608696,22445.78260869565,,,
352,1979-05-01,British Columbia,955,8972.0,7806.169565217392,24587.565217391304,,,
353,1979-05-01,Manitoba,349,10924.0,9235.239130434784,28871.130434782608,,,
354,1979-05-01,New Brunswick,208,11900.0,9949.773913043478,31012.91304347826,,,
355,1979-05-01,Newfoundland and Labrador,144,12876.0,10664.308695652177,33154.69565217391,,,
356,1979-05-01,Ontario,2891,14828.0,12093.378260869566,37438.260869565216,,,
357,1979-05-01,Prince Edward Island,36,15804.0,12807.913043478262,39580.04347826087,,,
358,1979-05-01,Quebec,2103,16780.0,13522.447826086958,41721.82608695652,,,
359,1979-05-01,Canada,7970,9948.0,8520.704347826088,26729.34782608696,,,
360,1979-06-01,Alberta,701,18732.0,14951.517391304347,46005.391304347824,,,
361,1979-06-01,British Columbia,955,19708.0,15666.052173913044,48147.17391304347,,,
362,1979-06-01,Manitoba,349,21660.0,17095.121739130438,52430.739130434784,,,
363,1979-06-01,New Brunswick,208,22636.0,17809.656521739133,54572.52173913043,,,
364,1979-06-01,Newfoundland and Labrador,144,23612.0,18524.191304347827,56714.30434782608,,,
365,1979-06-01,Ontario,2891,25564.0,19953.26086956522,60997.86956521739,,,
366,1979-06-01,Prince Edward Island,36,26540.0,20667.79565217392,63139.65217391304,,,
367,1979-06-01,Quebec,2103,27516.0,21382.33043478261,65281.43478260869,,,
368,1979-06-01,Canada,7970,20684.0,16380.586956521742,50288.95652173913,,,
369,1979-07-01,Alberta,701,29468.0,22811.4,69565.0,,,
370,1979-07-01,British Columbia,955,16479.0,17986.8,35273.0,,,
371,1979-07-01,Manitoba,349,3412.0,4738.3,19339.0,,,
372,1979-07-01,New Brunswick,208,3459.0,3336.8,6031.0,,,
373,1979-07-01,Newfoundland and Labrador,144,942.0,1970.9,6618.0,,,
374,1979-07-01,Ontario,2891,54392.0,42476.5,136491.0,,,
375,1979-07-01,Prince Edward Island,36,951.0,742.9,1141.0,,,
