Year,Province,Total PRs,Total TRs,Total Births,Total Deaths,Population Estimate
2016,Yukon,25,95,2640,436,38263.5
2017,Alberta,4425,28690,322054,51080,4232819.75
2017,British Columbia,3625,119470,267760,76980,4925006.5
2017,Manitoba,1105,16890,102170,22132,1331885.25
2017,New Brunswick,210,5015,39238,14988,766049.25
2017,Newfoundland and Labrador,50,3825,24624,10294,529942.5
2017,Northwest Territories,40,50,3694,482,44644.5
2017,Nova Scotia,345,13850,49416,19100,951050.25
2017,Nunavut,0,0,5422,350,37540.5
2017,Ontario,7320,240930,846860,207484,14056827.0
2017,Prince Edward Island,150,2555,8054,2654,149125.0
2017,Province / Territory not stated,0,135,0,0,150595.0
2017,Province/territory not stated,0,1745,0,0,150595.0
2017,Quebec,3295,64355,502916,132140,8284231.25
2017,Saskatchewan,1295,8645,92442,18912,1145931.25
2017,Unknown province or territory,0,0,0,0,1151044.0
2017,Unknown province or territory of residence,0,0,0,0,1151044.0
2017,Yukon,25,235,0,0,39286.75
2018,Alberta,3045,32170,314926,51992,4286099.0
2018,British Columbia,4045,137040,261408,76946,5009884.5
2018,Manitoba,970,19505,102428,22080,1350414.25
2018,New Brunswick,285,5975,38208,15310,770035.75
2018,Newfoundland and Labrador,65,4265,24066,10476,528998.75
2018,Northwest Territories,30,55,3750,478,44671.75
2018,Northwest Territories including Nunavut,0,0,0,0,44487.0
2018,Nova Scotia,360,16550,47692,19418,961061.0
2018,Nunavut,0,5,5396,414,38153.75
2018,Ontario,10910,282895,846912,214550,14297687.0
2018,Prince Edward Island,100,3290,7876,2750,151948.0
2018,Province / Territory not stated,0,970,0,0,153906.0
2018,Province/territory not stated,0,2510,0,0,153906.0
2018,Quebec,2640,74270,502798,137590,8374735.0
2018,Saskatchewan,1065,10025,91194,19404,1155438.5
2018,Unknown province or territory,0,0,0,0,1159648.0
2018,Unknown province or territory of residence,0,0,0,0,1159648.0
2018,Yukon,30,275,0,0,40211.5
2019,Alberta,2550,35010,310588,52284,4348515.0
2019,British Columbia,2640,148805,260802,77122,5100179.0
2019,Manitoba,840,20195,100426,22368,1367580.0
2019,New Brunswick,210,7135,37656,15592,776407.5
2019,Newfoundland and Labrador,85,4840,22498,10534,528101.0
2019,Northwest Territories,15,80,3496,452,44547.25
2019,Northwest Territories including Nunavut,0,0,0,0,44512.0
2019,Nova Scotia,370,18960,48578,19668,974448.75
2019,Nunavut,0,10,5118,444,38767.5
2019,Ontario,8530,315125,847488,215084,14545972.5
2019,Prince Edward Island,135,3790,7956,2764,155276.75
2019,Province / Territory not stated,0,2225,0,0,157025.0
2019,Province/territory not stated,0,2055,0,0,157025.0
2019,Quebec,2475,92570,502884,135172,8470680.75
2019,Saskatchewan,765,11250,86614,19118,1163702.5
2019,Unknown province or territory,0,0,0,0,1167271.0
2019,Unknown province or territory of residence,0,0,0,0,1167271.0
2019,Yukon,15,315,0,0,41035.5
2020,Alberta,2840,29545,294212,58468,4404480.25
2020,British Columbia,4210,123415,253420,82664,5169146.25
2020,Manitoba,1050,17680,99076,23982,1379626.0
2020,New Brunswick,395,5685,37250,14990,782703.0
2020,Newfoundland and Labrador,90,4050,21620,10886,527223.5
2020,Northwest Territories,5,60,3412,564,44499.25
2020,Northwest Territories including Nunavut,0,0,0,0,44395.0
2020,Nova Scotia,400,15270,45764,20068,987164.0
2020,Nunavut,5,10,5768,418,39301.75
2020,Ontario,11330,253275,819894,231860,14747480.5
2020,Prince Edward Island,185,3550,7846,2716,158566.75
2020,Province / Territory not stated,0,1715,0,0,159179.0
2020,Province/territory not stated,0,2010,0,0,159179.0
2020,Quebec,3195,88110,491820,149678,8547809.0
2020,Saskatchewan,995,9745,83750,20530,1167953.25
2020,Unknown province or territory,0,0,0,0,1165963.0
2020,Unknown province or territory of residence,0,0,0,0,1165963.0
2020,Yukon,20,250,0,0,41844.75
2021,Alberta,2670,35055,299588,62526,4431360.5
2021,British Columbia,3240,141540,264146,89174,5218563.75
2021,Manitoba,1410,20550,93964,23190,1390137.75
2021,New Brunswick,260,8215,38790,16204,789621.5
2021,Newfoundland and Labrador,45,5115,23214,11730,526862.0
2021,Northwest Territories,10,45,3300,606,44570.75
2021,Northwest Territories including Nunavut,0,0,0,0,44593.0
2021,Nova Scotia,325,16420,41884,20444,997659.25
2021,Nunavut,0,10,5006,410,39986.0
2021,Ontario,11840,306435,844902,234912,14840405.25
2021,Prince Edward Island,110,3960,8784,2922,161358.75
2021,Province / Territory not stated,0,4125,0,0,163728.0
2021,Province/territory not stated,0,240,0,0,163728.0
2021,Quebec,3725,98765,510460,139120,8570647.75
