Year,Province,Total PRs,Total TRs,Total Births,Total Deaths,Population Estimate
2017,New Brunswick,1680,40120,156952,59952,768029
2017,Newfoundland and Labrador,400,30600,98496,41176,530153
2017,Northwest Territories,320,400,14776,1928,44825
2017,Nova Scotia,2760,110800,197664,76400,956074
2017,Nunavut,0,0,21688,1400,37829
2017,Ontario,58560,1927440,3387440,829936,14161084
2017,Prince Edward Island,1200,20440,32216,10616,150595
2017,Province / Territory not stated,0,1880,0,0,150595
2017,Quebec,26360,514840,2011664,528560,8326075
2017,Saskatchewan,10360,69160,369768,75648,1151044
2017,Unknown province or territory,0,0,0,0,1151044
2017,Yukon,100,940,0,0,39705
2018,Alberta,24360,257360,1259704,207968,4311439
2018,British Columbia,32360,1096320,1045632,307784,5052131
2018,Manitoba,7760,156040,409712,88320,1357856
2018,New Brunswick,2280,47800,152832,61240,772793
2018,Newfoundland and Labrador,520,34120,96264,41904,528926
2018,Northwest Territories,240,440,15000,1912,44487
2018,Nova Scotia,2880,132400,190768,77672,967578
2018,Nunavut,0,40,21584,1656,38487
2018,Ontario,87280,2263160,3387648,858200,14413055
2018,Prince Edward Island,800,26320,31504,11000,153906
2018,Province / Territory not stated,0,3480,0,0,153906
2018,Quebec,21120,594160,2011192,550360,8418646
2018,Saskatchewan,8520,80200,364776,77616,1159648
2018,Unknown province or territory,0,0,0,0,1159648
2018,Yukon,120,1100,0,0,40533
2019,Alberta,20400,280080,1242352,209136,4376860
2019,British Columbia,21120,1190440,1043208,308488,5148047
2019,Manitoba,6720,161560,401704,89472,1373884
2019,New Brunswick,1680,57080,150624,62368,780907
2019,Newfoundland and Labrador,680,38720,89992,42136,528442
2019,Northwest Territories,120,640,13984,1808,44512
2019,Nova Scotia,2960,151680,194312,78672,982592
2019,Nunavut,0,80,20472,1776,38893
2019,Ontario,68240,2521000,3389952,860336,14666727
2019,Prince Edward Island,1080,30320,31824,11056,157025
2019,Province / Territory not stated,0,4280,0,0,157025
2019,Quebec,19800,740560,2011536,540688,8521542
2019,Saskatchewan,6120,90000,346456,76472,1167271
2019,Unknown province or territory,0,0,0,0,1167271
2019,Yukon,60,1260,0,0,41460
2020,Alberta,22720,236360,1176848,233872,4412013
2020,British Columbia,33680,987320,1013680,330656,5173896
2020,Manitoba,8400,141440,396304,95928,1381809
2020,New Brunswick,3160,45480,149000,59960,783814
2020,Newfoundland and Labrador,720,32400,86480,43544,526046
2020,Northwest Territories,40,480,13648,2256,44395
2020,Nova Scotia,3200,122160,183056,80272,989154
2020,Nunavut,40,80,23072,1672,39581
2020,Ontario,90640,2026200,3279576,927440,14757582
2020,Prince Edward Island,1480,28400,31384,10864,159179
2020,Province / Territory not stated,0,3725,0,0,159179
2020,Quebec,25560,704880,1967280,598712,8551865
2020,Saskatchewan,7960,77960,335000,82120,1165963
2020,Unknown province or territory,0,0,0,0,1165963
2020,Yukon,80,1000,0,0,42109
2021,Alberta,21360,280440,1198352,250104,4449956
2021,British Columbia,25920,1132320,1056584,356696,5267182
2021,Manitoba,11280,164400,375856,92760,1396162
2021,New Brunswick,2080,65720,155160,64816,795732
2021,Newfoundland and Labrador,360,40920,92856,46920,528302
2021,Northwest Territories,80,360,13200,2424,44593
2021,Nova Scotia,2600,131360,167536,81776,1006758
2021,Nunavut,0,80,20024,1640,40229
2021,Ontario,94720,2451480,3379608,939648,14938314
2021,Prince Edward Island,880,31680,35136,11688,163728
2021,Province / Territory not stated,0,4365,0,0,163728
2021,Quebec,29800,790120,2041840,556480,8603995
2021,Saskatchewan,6330,66360,257766,66126,1168792
2021,Unknown province or territory,0,0,0,0,1168792
2021,Yukon,40,1220,0,0,43128
2022,Alberta,26960,361000,1138520,261160,4558643
2022,British Columbia,54600,1365600,1003080,366504,5408601
2022,Manitoba,11920,183760,332408,100480,1423465
2022,New Brunswick,4800,93600,149152,73240,817173
2022,Newfoundland and Labrador,1560,50720,84488,51248,533409
2022,Northwest Territories,160,480,12048,2496,44588
2022,Nova Scotia,8280,169720,188880,90760,1035163
2022,Nunavut,40,80,16920,1752,40491
2022,Ontario,138120,3386600,3231872,998056,15289550
2022,Prince Edward Island,1600,36920,31824,12928,169032
2022,Province / Territory not stated,5,11020,0,0,169032
2022,Quebec,26160,787800,1913944,622624,8727339
2022,Saskatchewan,9080,108720,316064,91400,1187854
2022,Unknown province or territory,0,0,0,0,1187854
2022,Yukon,160,1120,0,0,44193
2023,Alberta,45640,539280,1158128,256432,4744897
2023,British Columbia,63920,1697760,989448,357968,5593961
2023,Manitoba,22360,242360,365328,100640,1465035
2023,New Brunswick,9600,131080,145176,69216,840578
2023,Newfoundland and Labrador,8680,61320,76384,49224,541000
2023,Northwest Territories,280,720,11440,2168,44495
2023,Nova Scotia,13960,221040,175656,82520,1064297
2023,Nunavut,0,120,19016,2056,40898
2023,Ontario,172880,4515360,3284128,966696,15818465
2023,Prince Edward Island,5120,43920,32048,12624,175871
2023,Province / Territory not stated,0,20340,0,0,175871
2023,Quebec,47960,987800,1854056,619832,8918906
2023,Saskatchewan,16320,150560,309888,87688,1219702
2023,Unknown province or territory,0,0,0,0,1219702
2023,Yukon,840,2960,9480,2656,45676
2024,Alberta,21820,23160,0,0,4931601
2024,British Columbia,29120,46360,0,0,5719594
2024,Manitoba,8840,9940,0,0,1499981
2024,New Brunswick,6760,3840,0,0,857381
2024,Newfoundland and Labrador,1960,2360,0,0,545880
2024,Northwest Territories,200,100,0,0,44936
2024,Nova Scotia,7180,6740,0,0,1079676
2024,Nunavut,0,20,0,0,41258
2024,Ontario,87780,129280,0,0,16171802
2024,Prince Edward Island,2180,1180,0,0,179301
2024,Province / Territory not stated,0,7805,0,0,179301
2024,Quebec,16680,29680,0,0,9100249
2024,Saskatchewan,7960,5340,0,0,1246691
2024,Yukon,560,340,0,0,46948
