,Year,Province,Resident Type,Total PRs,Total TRs,Total Births,Total Deaths
309,2018,Saskatchewan,International Students,1065.0,10025.0,0.0,19404.0
310,2018,Saskatchewan,International Students,1065.0,10025.0,91194.0,0.0
311,2018,Yukon,Permanent Residents,30.0,275.0,0.0,0.0
312,2018,Yukon,Foreign Workers,30.0,275.0,0.0,0.0
313,2018,Yukon,International Students,30.0,275.0,0.0,0.0
314,2019,Alberta,Permanent Residents,2550.0,35010.0,0.0,52284.0
315,2019,Alberta,Permanent Residents,2550.0,35010.0,310588.0,0.0
316,2019,Alberta,Foreign Workers,2550.0,35010.0,0.0,52284.0
317,2019,Alberta,Foreign Workers,2550.0,35010.0,310588.0,0.0
318,2019,Alberta,International Students,2550.0,35010.0,0.0,52284.0
319,2019,Alberta,International Students,2550.0,35010.0,310588.0,0.0
320,2019,British Columbia,Permanent Residents,2640.0,148805.0,0.0,77122.0
321,2019,British Columbia,Permanent Residents,2640.0,148805.0,260802.0,0.0
322,2019,British Columbia,Foreign Workers,2640.0,148805.0,0.0,77122.0
323,2019,British Columbia,Foreign Workers,2640.0,148805.0,260802.0,0.0
324,2019,British Columbia,International Students,2640.0,148805.0,0.0,77122.0
325,2019,British Columbia,International Students,2640.0,148805.0,260802.0,0.0
326,2019,Manitoba,Permanent Residents,840.0,20195.0,0.0,22368.0
327,2019,Manitoba,Permanent Residents,840.0,20195.0,100426.0,0.0
328,2019,Manitoba,Foreign Workers,840.0,20195.0,0.0,22368.0
329,2019,Manitoba,Foreign Workers,840.0,20195.0,100426.0,0.0
330,2019,Manitoba,International Students,840.0,20195.0,0.0,22368.0
331,2019,Manitoba,International Students,840.0,20195.0,100426.0,0.0
332,2019,New Brunswick,Permanent Residents,210.0,7135.0,0.0,15592.0
333,2019,New Brunswick,Permanent Residents,210.0,7135.0,37656.0,0.0
334,2019,New Brunswick,Foreign Workers,210.0,7135.0,0.0,15592.0
335,2019,New Brunswick,Foreign Workers,210.0,7135.0,37656.0,0.0
336,2019,New Brunswick,International Students,210.0,7135.0,0.0,15592.0
337,2019,New Brunswick,International Students,210.0,7135.0,37656.0,0.0
338,2019,Newfoundland and Labrador,Permanent Residents,85.0,4840.0,0.0,10534.0
339,2019,Newfoundland and Labrador,Permanent Residents,85.0,4840.0,22498.0,0.0
340,2019,Newfoundland and Labrador,Foreign Workers,85.0,4840.0,0.0,10534.0
341,2019,Newfoundland and Labrador,Foreign Workers,85.0,4840.0,22498.0,0.0
342,2019,Newfoundland and Labrador,International Students,85.0,4840.0,0.0,10534.0
343,2019,Newfoundland and Labrador,International Students,85.0,4840.0,22498.0,0.0
344,2019,Northwest Territories,Permanent Residents,15.0,80.0,0.0,452.0
345,2019,Northwest Territories,Permanent Residents,15.0,80.0,3496.0,0.0
346,2019,Northwest Territories,Foreign Workers,15.0,80.0,0.0,452.0
347,2019,Northwest Territories,Foreign Workers,15.0,80.0,3496.0,0.0
348,2019,Northwest Territories,International Students,15.0,80.0,0.0,452.0
349,2019,Northwest Territories,International Students,15.0,80.0,3496.0,0.0
350,2019,Nova Scotia,Permanent Residents,370.0,18960.0,0.0,19668.0
351,2019,Nova Scotia,Permanent Residents,370.0,18960.0,48578.0,0.0
352,2019,Nova Scotia,Foreign Workers,370.0,18960.0,0.0,19668.0
353,2019,Nova Scotia,Foreign Workers,370.0,18960.0,48578.0,0.0
354,2019,Nova Scotia,International Students,370.0,18960.0,0.0,19668.0
355,2019,Nova Scotia,International Students,370.0,18960.0,48578.0,0.0
356,2019,Nunavut,Permanent Residents,0.0,10.0,0.0,444.0
357,2019,Nunavut,Permanent Residents,0.0,10.0,5118.0,0.0
358,2019,Nunavut,Foreign Workers,0.0,10.0,0.0,444.0
359,2019,Nunavut,Foreign Workers,0.0,10.0,5118.0,0.0
360,2019,Nunavut,International Students,0.0,10.0,0.0,444.0
361,2019,Nunavut,International Students,0.0,10.0,5118.0,0.0
362,2019,Ontario,Permanent Residents,8530.0,315125.0,0.0,215084.0
363,2019,Ontario,Permanent Residents,8530.0,315125.0,847488.0,0.0
364,2019,Ontario,Foreign Workers,8530.0,315125.0,0.0,215084.0
365,2019,Ontario,Foreign Workers,8530.0,315125.0,847488.0,0.0
366,2019,Ontario,International Students,8530.0,315125.0,0.0,215084.0
367,2019,Ontario,International Students,8530.0,315125.0,847488.0,0.0
368,2019,Prince Edward Island,Permanent Residents,135.0,3790.0,0.0,2764.0
369,2019,Prince Edward Island,Permanent Residents,135.0,3790.0,7956.0,0.0
370,2019,Prince Edward Island,Foreign Workers,135.0,3790.0,0.0,2764.0
371,2019,Prince Edward Island,Foreign Workers,135.0,3790.0,7956.0,0.0
372,2019,Prince Edward Island,International Students,135.0,3790.0,0.0,2764.0
373,2019,Prince Edward Island,International Students,135.0,3790.0,7956.0,0.0
374,2019,Province/territory not stated,Permanent Residents,0.0,2055.0,,
375,2019,Province/territory not stated,Foreign Workers,0.0,2055.0,,
376,2019,Quebec,Permanent Residents,2475.0,92570.0,0.0,135172.0
377,2019,Quebec,Permanent Residents,2475.0,92570.0,502884.0,0.0
