Year,Province,Metric,Value
2016,British Columbia,Total PRs,3840.0
2016,British Columbia,Total PRs,3840.0
2016,British Columbia,Total PRs,3840.0
2016,British Columbia,Total PRs,3840.0
2016,British Columbia,Total PRs,3840.0
2017,British Columbia,Total PRs,3625.0
2017,British Columbia,Total PRs,3625.0
2017,British Columbia,Total PRs,3625.0
2017,British Columbia,Total PRs,3625.0
2017,British Columbia,Total PRs,3625.0
2017,British Columbia,Total PRs,3625.0
2017,British Columbia,Total PRs,3625.0
2017,British Columbia,Total PRs,3625.0
2017,British Columbia,Total PRs,3625.0
2017,British Columbia,Total PRs,3625.0
2017,British Columbia,Total PRs,3625.0
2017,British Columbia,Total PRs,3625.0
2017,British Columbia,Total PRs,3625.0
2017,British Columbia,Total PRs,3625.0
2017,British Columbia,Total PRs,3625.0
2017,British Columbia,Total PRs,3625.0
2017,British Columbia,Total PRs,3625.0
2017,British Columbia,Total PRs,3625.0
2017,British Columbia,Total PRs,3625.0
2017,British Columbia,Total PRs,3625.0
2017,British Columbia,Total PRs,3625.0
2017,British Columbia,Total PRs,3625.0
2017,British Columbia,Total PRs,3625.0
2017,British Columbia,Total PRs,3625.0
2018,British Columbia,Total PRs,4045.0
2018,British Columbia,Total PRs,4045.0
2018,British Columbia,Total PRs,4045.0
2018,British Columbia,Total PRs,4045.0
2018,British Columbia,Total PRs,4045.0
2018,British Columbia,Total PRs,4045.0
2018,British Columbia,Total PRs,4045.0
2018,British Columbia,Total PRs,4045.0
2018,British Columbia,Total PRs,4045.0
2018,British Columbia,Total PRs,4045.0
2018,British Columbia,Total PRs,4045.0
2018,British Columbia,Total PRs,4045.0
2018,British Columbia,Total PRs,4045.0
2018,British Columbia,Total PRs,4045.0
2018,British Columbia,Total PRs,4045.0
2018,British Columbia,Total PRs,4045.0
2018,British Columbia,Total PRs,4045.0
2018,British Columbia,Total PRs,4045.0
2018,British Columbia,Total PRs,4045.0
2018,British Columbia,Total PRs,4045.0
2018,British Columbia,Total PRs,4045.0
2018,British Columbia,Total PRs,4045.0
2018,British Columbia,Total PRs,4045.0
2018,British Columbia,Total PRs,4045.0
2019,British Columbia,Total PRs,2640.0
2019,British Columbia,Total PRs,2640.0
2019,British Columbia,Total PRs,2640.0
2019,British Columbia,Total PRs,2640.0
2019,British Columbia,Total PRs,2640.0
2019,British Columbia,Total PRs,2640.0
2019,British Columbia,Total PRs,2640.0
2019,British Columbia,Total PRs,2640.0
2019,British Columbia,Total PRs,2640.0
2019,British Columbia,Total PRs,2640.0
2019,British Columbia,Total PRs,2640.0
2019,British Columbia,Total PRs,2640.0
2019,British Columbia,Total PRs,2640.0
2019,British Columbia,Total PRs,2640.0
2019,British Columbia,Total PRs,2640.0
2019,British Columbia,Total PRs,2640.0
2019,British Columbia,Total PRs,2640.0
2019,British Columbia,Total PRs,2640.0
2019,British Columbia,Total PRs,2640.0
2019,British Columbia,Total PRs,2640.0
2019,British Columbia,Total PRs,2640.0
2019,British Columbia,Total PRs,2640.0
2019,British Columbia,Total PRs,2640.0
2019,British Columbia,Total PRs,2640.0
2020,British Columbia,Total PRs,4210.0
2020,British Columbia,Total PRs,4210.0
2020,British Columbia,Total PRs,4210.0
2020,British Columbia,Total PRs,4210.0
2020,British Columbia,Total PRs,4210.0
2020,British Columbia,Total PRs,4210.0
2020,British Columbia,Total PRs,4210.0
2020,British Columbia,Total PRs,4210.0
2020,British Columbia,Total PRs,4210.0
