"REF_DATE","GEO","DGUID","Type of expenditure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1949/1950","Nova Scotia","","Total operating expenditures","Dollars","81","thousands","3","v1568037","4.7","","x","","","0"
"1949/1950","Nova Scotia","","Subtotal instructional expenditures","Dollars","81","thousands","3","v1568034","4.4","","x","","","0"
"1949/1950","Nova Scotia","","Teachers salaries","Dollars","81","thousands","3","v1568032","4.2","","x","","","0"
"1949/1950","Nova Scotia","","Non-instructional salaries and wages","Dollars","81","thousands","3","v1568035","4.5","","..","","","0"
"1949/1950","Nova Scotia","","Other operating expenditures","Dollars","81","thousands","3","v1568036","4.6","","x","","","0"
"1949/1950","Nova Scotia","","Capita outlay and debt charges","Dollars","81","thousands","3","v1568038","4.8","","x","","","0"
"1949/1950","New Brunswick","","Total expenditures","Dollars","81","thousands","3","v1568039","5.1","","x","","","0"
"1949/1950","New Brunswick","","Total operating expenditures","Dollars","81","thousands","3","v1568045","5.7","","x","","","0"
"1949/1950","New Brunswick","","Subtotal instructional expenditures","Dollars","81","thousands","3","v1568042","5.4","","x","","","0"
"1949/1950","New Brunswick","","Teachers salaries","Dollars","81","thousands","3","v1568040","5.2","","x","","","0"
"1949/1950","New Brunswick","","Non-instructional salaries and wages","Dollars","81","thousands","3","v1568043","5.5","","..","","","0"
"1949/1950","New Brunswick","","Other operating expenditures","Dollars","81","thousands","3","v1568044","5.6","","x","","","0"
"1949/1950","New Brunswick","","Capita outlay and debt charges","Dollars","81","thousands","3","v1568046","5.8","","x","","","0"
"1949/1950","Quebec","","Total expenditures","Dollars","81","thousands","3","v1568055","7.1","7187","","","","0"
"1949/1950","Quebec","","Total operating expenditures","Dollars","81","thousands","3","v1568061","7.7","7187","","","","0"
"1949/1950","Quebec","","Subtotal instructional expenditures","Dollars","81","thousands","3","v1568058","7.4","2320","","","","0"
"1949/1950","Quebec","","Teachers salaries","Dollars","81","thousands","3","v1568056","7.2","2320","","","","0"
"1949/1950","Quebec","","Non-instructional salaries and wages","Dollars","81","thousands","3","v1568059","7.5","","..","","","0"
"1949/1950","Quebec","","Other operating expenditures","Dollars","81","thousands","3","v1568060","7.6","4867","","","","0"
"1949/1950","Quebec","","Capita outlay and debt charges","Dollars","81","thousands","3","v1568062","7.8","0","","","","0"
"1949/1950","Ontario","","Total expenditures","Dollars","81","thousands","3","v1568063","8.1","5312","","","","0"
