REF_DATE,GEO,DGUID,"Census metropolitan areas and census agglomerations, by population centres and rural areas (718)",Coordinate,"Population and land area (2): Population, 2021 [1]",Symbols,"Population and land area (2): Land area in square kilometres, 2021 [2]",Symbols
2021,Canada,2021A000011124,Kingston (Large urban population centre),1.26,127943,,83.43,
2021,Canada,2021A000011124,Bath (Small population centre),1.261,1825,,3.87,
2021,Canada,2021A000011124,Rural area,1.262,42778,,1831.87,
2021,Canada,2021A000011124,"Kitchener - Cambridge - Waterloo, Ontario (CMA)",1.263,575847,,1092.33,
2021,Canada,2021A000011124,Kitchener (Large urban population centre),1.264,522888,,296.45,
2021,Canada,2021A000011124,Ayr (Small population centre),1.265,5383,,5.76,
2021,Canada,2021A000011124,Elmira (Small population centre),1.266,10790,,8.15,
2021,Canada,2021A000011124,New Dundee (Small population centre),1.267,1174,,1.53,
2021,Canada,2021A000011124,New Hamburg (Small population centre),1.268,14379,,15.75,
2021,Canada,2021A000011124,St. Jacobs (Small population centre),1.269,1959,,2.81,
2021,Canada,2021A000011124,Rural area,1.27,19274,,761.87,
2021,Canada,2021A000011124,"Lachute, Quebec (CA)",1.271,14100,,108.66,
2021,Canada,2021A000011124,Lachute (Small population centre),1.272,11221,,9.59,
2021,Canada,2021A000011124,Rural area,1.273,2879,,99.06,
2021,Canada,2021A000011124,"Lacombe, Alberta (CA)",1.274,13396,,20.59,
2021,Canada,2021A000011124,Lacombe (Small population centre),1.275,12835,,11.87,
2021,Canada,2021A000011124,Rural area,1.276,561,,8.71,
2021,Canada,2021A000011124,"Ladysmith, British Columbia (CA)",1.277,15501,,412.01,
2021,Canada,2021A000011124,Ladysmith (Small population centre),1.278,11194,,13.85,
2021,Canada,2021A000011124,Rural area,1.279,4307,,398.16,
2021,Canada,2021A000011124,"Lethbridge, Alberta (CMA)",1.28,123847,,2958.96,
2021,Canada,2021A000011124,Lethbridge (Medium population centre),1.281,92563,,64,
2021,Canada,2021A000011124,Coaldale (Small population centre),1.282,8592,,5.84,
2021,Canada,2021A000011124,Coalhurst (Small population centre),1.283,2818,,1.76,
2021,Canada,2021A000011124,Nobleford (Small population centre),1.284,1438,,0.98,
2021,Canada,2021A000011124,Picture Butte (Small population centre),1.285,1808,,1.95,
2021,Canada,2021A000011124,Rural area,1.286,16628,,2884.42,
2021,Canada,2021A000011124,"Lloydminster, Saskatchewan/Alberta (CA)",1.287,36508,,1984.24,
2021,Canada,2021A000011124,Lloydminster (Medium population centre),1.288,31582,,24.43,
2021,Canada,2021A000011124,Rural area,1.289,4926,,1959.81,
2021,Canada,2021A000011124,"London, Ontario (CMA)",1.29,543551,,2661.48,
2021,Canada,2021A000011124,London (Large urban population centre),1.291,423369,,244.97,
2021,Canada,2021A000011124,St. Thomas (Medium population centre),1.292,45732,,28.1,
2021,Canada,2021A000011124,Belmont (Small population centre),1.293,1275,,0.99,
2021,Canada,2021A000011124,Dorchester (Small population centre),1.294,4355,,5.81,
2021,Canada,2021A000011124,Ilderton (Small population centre),1.295,2250,,1.19,
2021,Canada,2021A000011124,Mount Brydges (Small population centre),1.296,2656,,5.5,
2021,Canada,2021A000011124,Port Stanley (Small population centre),1.297,3008,,3.78,
2021,Canada,2021A000011124,Strathroy (Small population centre),1.298,16056,,15.3,
2021,Canada,2021A000011124,Rural area,1.299,44850,,2355.84,
2021,Canada,2021A000011124,"Matane, Quebec (CA)",1.3,18474,,865.87,
2021,Canada,2021A000011124,Matane (Small population centre),1.301,10371,,10.16,
2021,Canada,2021A000011124,Rural area,1.302,8103,,855.71,
2021,Canada,2021A000011124,"Medicine Hat, Alberta (CA)",1.303,76376,,13106.11,
2021,Canada,2021A000011124,Medicine Hat (Medium population centre),1.304,63382,,53.2,
2021,Canada,2021A000011124,Redcliff (Small population centre),1.305,5385,,7.39,
2021,Canada,2021A000011124,Rural area,1.306,7609,,13045.52,
2021,Canada,2021A000011124,"Midland, Ontario (CA)",1.307,27894,,60.75,
2021,Canada,2021A000011124,Midland (Small population centre),1.308,26246,,27.41,
2021,Canada,2021A000011124,Rural area,1.309,1648,,33.34,
2021,Canada,2021A000011124,"Miramichi, New Brunswick (CA)",1.31,27593,,7564.06,
2021,Canada,2021A000011124,Chatham - Douglastown (Small population centre),1.311,11594,,27.78,
2021,Canada,2021A000011124,Rural area,1.312,15999,,7536.28,
2021,Canada,2021A000011124,"Moncton, New Brunswick (CMA)",1.313,157717,,2562.47,
2021,Canada,2021A000011124,Moncton (Large urban population centre),1.314,119785,,110.73,
2021,Canada,2021A000011124,McEwen (Small population centre),1.315,1445,,0.83,
2021,Canada,2021A000011124,Salisbury (Small population centre),1.316,1546,,2.7,
2021,Canada,2021A000011124,Rural area,1.317,34941,,2448.21,
2021,Canada,2021A000011124,"Montréal, Quebec (CMA)",1.318,4291732,,4670.1,
2021,Canada,2021A000011124,Montréal (Large urban population centre),1.319,3675219,,1382.47,
2021,Canada,2021A000011124,Saint-Jérôme (Large urban population centre),1.32,100859,,96.97,
2021,Canada,2021A000011124,Beloeil (Medium population centre),1.321,52959,,26.5,
2021,Canada,2021A000011124,Châteauguay (Medium population centre),1.322,75891,,50.48,
2021,Canada,2021A000011124,Saint-Jean-sur-Richelieu (Medium population centre),1.323,88083,,53.8,
2021,Canada,2021A000011124,Domaine-C.-L.-C. (Small population centre),1.324,1662,,1.91,
2021,Canada,2021A000011124,Domaine-Ouellet (Small population centre),1.325,3391,,1.17,
2021,Canada,2021A000011124,Hudson (Small population centre),1.326,24245,,34.67,
2021,Canada,2021A000011124,L'Assomption (Small population centre),1.327,16443,,11.63,
2021,Canada,2021A000011124,L'Épiphanie (Small population centre),1.328,7607,,10.1,
2021,Canada,2021A000011124,Lac-Lapierre (Small population centre),1.329,2533,,2.6,
2021,Canada,2021A000011124,Laurentides (Small population centre),1.33,15768,,12.78,
2021,Canada,2021A000011124,Lavaltrie (Small population centre),1.331,11301,,7.03,
2021,Canada,2021A000011124,Les Coteaux (Small population centre),1.332,19582,,18.13,
2021,Canada,2021A000011124,Les Cèdres (Small population centre),1.333,2214,,1.79,
2021,Canada,2021A000011124,Melocheville (Small population centre),1.334,3039,,2.34,
2021,Canada,2021A000011124,Oka (Small population centre),1.335,1299,,1,
2021,Canada,2021A000011124,Saint-Amable (Small population centre),1.336,11199,,7.9,
2021,Canada,2021A000011124,Saint-Augustin (Small population centre),1.337,11769,,11.35,
2021,Canada,2021A000011124,Saint-Roch-de-l'Achigan (Small population centre),1.338,2136,,1.41,
2021,Canada,2021A000011124,Saint-Sulpice (Small population centre),1.339,1769,,1.17,
2021,Canada,2021A000011124,Sainte-Anne-des-Plaines (Small population centre),1.34,11269,,4.07,
2021,Canada,2021A000011124,Varennes (Small population centre),1.341,20591,,10.36,
2021,Canada,2021A000011124,Verchères (Small population centre),1.342,4359,,2.99,
2021,Canada,2021A000011124,Rural area,1.343,126545,,2915.5,
