,REF_DATE,GEO,Total_Births,Total_Deaths
558,1995,"Canada, place of residence",,421666.0
559,1995,"Manitoba, place of residence",,19515.9
560,1995,"New Brunswick, place of residence",,12076.0
561,1995,"Newfoundland and Labrador, place of residence",,8070.0
562,1995,"Northwest Territories including Nunavut, place of residence",,653.9
563,1995,"Nova Scotia, place of residence",,15574.1
564,1995,"Ontario, place of residence",,157158.0
565,1995,"Prince Edward Island, place of residence",,2506.0
566,1995,"Quebec, place of residence",,105668.0
567,1995,"Saskatchewan, place of residence",,17190.0
568,1995,Unknown province or territory of residence,,0.0
569,1995,"Yukon, place of residence",,513.9
570,1996,"Alberta, place of residence",,32982.1
571,1996,"British Columbia, place of residence",,55272.0
572,1996,"Canada, place of residence",,425960.0
573,1996,"Manitoba, place of residence",,19193.9
574,1996,"New Brunswick, place of residence",,11992.0
575,1996,"Newfoundland and Labrador, place of residence",,8056.0
576,1996,"Northwest Territories including Nunavut, place of residence",,744.0
577,1996,"Nova Scotia, place of residence",,15702.1
578,1996,"Ontario, place of residence",,158398.1
579,1996,"Prince Edward Island, place of residence",,2735.9
580,1996,"Quebec, place of residence",,104872.0
581,1996,"Saskatchewan, place of residence",,17730.0
582,1996,Unknown province or territory of residence,,242.0
583,1996,"Yukon, place of residence",,440.0
584,1997,"Alberta, place of residence",,33104.0
585,1997,"British Columbia, place of residence",,55024.0
586,1997,"Canada, place of residence",,431538.0
587,1997,"Manitoba, place of residence",,19222.0
588,1997,"New Brunswick, place of residence",,12088.1
589,1997,"Newfoundland and Labrador, place of residence",,8836.0
590,1997,"Northwest Territories including Nunavut, place of residence",,716.0
591,1997,"Nova Scotia, place of residence",,16288.0
592,1997,"Ontario, place of residence",,159282.0
593,1997,"Prince Edward Island, place of residence",,2260.0
594,1997,"Quebec, place of residence",,108998.0
595,1997,"Saskatchewan, place of residence",,17474.0
596,1997,Unknown province or territory of residence,,0.0
597,1997,"Yukon, place of residence",,446.0
598,1998,"Alberta, place of residence",,33789.9
599,1998,"British Columbia, place of residence",,56156.0
600,1998,"Canada, place of residence",,436382.0
601,1998,"Manitoba, place of residence",,19830.0
602,1998,"New Brunswick, place of residence",,12810.0
603,1998,"Newfoundland and Labrador, place of residence",,8660.0
604,1998,"Northwest Territories including Nunavut, place of residence",,776.0
605,1998,"Nova Scotia, place of residence",,16336.0
606,1998,"Ontario, place of residence",,160568.0
607,1998,"Prince Edward Island, place of residence",,2613.9
608,1998,"Quebec, place of residence",,108562.1
609,1998,"Saskatchewan, place of residence",,18010.0
610,1998,Unknown province or territory of residence,,0.0
611,1998,"Yukon, place of residence",,470.0
612,1999,"Alberta, place of residence",,34612.0
613,1999,"British Columbia, place of residence",,56234.1
614,1999,"Canada, place of residence",,439260.0
615,1999,"Manitoba, place of residence",,19920.1
616,1999,"New Brunswick, place of residence",,12348.0
617,1999,"Newfoundland and Labrador, place of residence",,8478.0
618,1999,"Northwest Territories including Nunavut, place of residence",,778.1
619,1999,"Northwest Territories, place of residence",,524.0
620,1999,"Nova Scotia, place of residence",,15480.0
621,1999,"Nunavut, place of residence",,454.0
622,1999,"Ontario, place of residence",,162986.0
623,1999,"Prince Edward Island, place of residence",,2473.9
624,1999,"Quebec, place of residence",,109384.0
625,1999,"Saskatchewan, place of residence",,18288.0
