REF_DATE,GEO,Number_of_Households
1981-06-01,Ontario,3030000
1981-06-01,Prince Edward Island,38000
1981-06-01,Quebec,2209000
1981-07-01,Alberta,777000
1981-07-01,British Columbia,1025000
1981-07-01,Canada,8420000
1981-07-01,Manitoba,361000
1981-07-01,New Brunswick,218000
1981-07-01,Newfoundland and Labrador,151000
1981-07-01,Ontario,3030000
1981-07-01,Prince Edward Island,38000
1981-07-01,Quebec,2209000
1981-08-01,Alberta,777000
1981-08-01,British Columbia,1025000
1981-08-01,Canada,8420000
1981-08-01,Manitoba,361000
1981-08-01,New Brunswick,218000
1981-08-01,Newfoundland and Labrador,151000
1981-08-01,Ontario,3030000
1981-08-01,Prince Edward Island,38000
1981-08-01,Quebec,2209000
1981-09-01,Alberta,777000
1981-09-01,British Columbia,1025000
1981-09-01,Canada,8420000
1981-09-01,Manitoba,361000
1981-09-01,New Brunswick,218000
1981-09-01,Newfoundland and Labrador,151000
1981-09-01,Ontario,3030000
1981-09-01,Prince Edward Island,38000
1981-09-01,Quebec,2209000
1981-10-01,Alberta,777000
1981-10-01,British Columbia,1025000
1981-10-01,Canada,8420000
1981-10-01,Manitoba,361000
1981-10-01,New Brunswick,218000
1981-10-01,Newfoundland and Labrador,151000
1981-10-01,Ontario,3030000
1981-10-01,Prince Edward Island,38000
1981-10-01,Quebec,2209000
1981-11-01,Alberta,777000
1981-11-01,British Columbia,1025000
1981-11-01,Canada,8420000
1981-11-01,Manitoba,361000
1981-11-01,New Brunswick,218000
1981-11-01,Newfoundland and Labrador,151000
1981-11-01,Ontario,3030000
1981-11-01,Prince Edward Island,38000
1981-11-01,Quebec,2209000
1981-12-01,Alberta,777000
1981-12-01,British Columbia,1025000
1981-12-01,Canada,8420000
1981-12-01,Manitoba,361000
1981-12-01,New Brunswick,218000
1981-12-01,Newfoundland and Labrador,151000
1981-12-01,Ontario,3030000
1981-12-01,Prince Edward Island,38000
1981-12-01,Quebec,2209000
1982-01-01,Alberta,793000
1982-01-01,British Columbia,1046000
1982-01-01,Canada,8583000
1982-01-01,Manitoba,367000
1982-01-01,New Brunswick,222000
1982-01-01,Newfoundland and Labrador,153000
1982-01-01,Ontario,3090000
1982-01-01,Prince Edward Island,39000
1982-01-01,Quebec,2251000
1982-02-01,Alberta,793000
1982-02-01,British Columbia,1046000
1982-02-01,Canada,8583000
1982-02-01,Manitoba,367000
1982-02-01,New Brunswick,222000
1982-02-01,Newfoundland and Labrador,153000
1982-02-01,Ontario,3090000
1982-02-01,Prince Edward Island,39000
1982-02-01,Quebec,2251000
1982-03-01,Alberta,793000
1982-03-01,British Columbia,1046000
1982-03-01,Canada,8583000
1982-03-01,Manitoba,367000
1982-03-01,New Brunswick,222000
1982-03-01,Newfoundland and Labrador,153000
1982-03-01,Ontario,3090000
1982-03-01,Prince Edward Island,39000
1982-03-01,Quebec,2251000
1982-04-01,Alberta,793000
1982-04-01,British Columbia,1046000
1982-04-01,Canada,8583000
1982-04-01,Manitoba,367000
1982-04-01,New Brunswick,222000
1982-04-01,Newfoundland and Labrador,153000
1982-04-01,Ontario,3090000
1982-04-01,Prince Edward Island,39000
1982-04-01,Quebec,2251000
1982-05-01,Alberta,793000
1982-05-01,British Columbia,1046000
1982-05-01,Canada,8583000
1982-05-01,Manitoba,367000
1982-05-01,New Brunswick,222000
1982-05-01,Newfoundland and Labrador,153000
1982-05-01,Ontario,3090000
1982-05-01,Prince Edward Island,39000
1982-05-01,Quebec,2251000
1982-06-01,Alberta,793000
1982-06-01,British Columbia,1046000
1982-06-01,Canada,8583000
1982-06-01,Manitoba,367000
1982-06-01,New Brunswick,222000
1982-06-01,Newfoundland and Labrador,153000
1982-06-01,Ontario,3090000
1982-06-01,Prince Edward Island,39000
1982-06-01,Quebec,2251000
1982-07-01,Alberta,793000
1982-07-01,British Columbia,1046000
1982-07-01,Canada,8583000
1982-07-01,Manitoba,367000
1982-07-01,New Brunswick,222000
1982-07-01,Newfoundland and Labrador,153000
1982-07-01,Ontario,3090000
1982-07-01,Prince Edward Island,39000
1982-07-01,Quebec,2251000
1982-08-01,Alberta,793000
1982-08-01,British Columbia,1046000
1982-08-01,Canada,8583000
1982-08-01,Manitoba,367000
1982-08-01,New Brunswick,222000
1982-08-01,Newfoundland and Labrador,153000
1982-08-01,Ontario,3090000
1982-08-01,Prince Edward Island,39000
1982-08-01,Quebec,2251000
1982-09-01,Alberta,793000
1982-09-01,British Columbia,1046000
1982-09-01,Canada,8583000
1982-09-01,Manitoba,367000
1982-09-01,New Brunswick,222000
1982-09-01,Newfoundland and Labrador,153000
1982-09-01,Ontario,3090000
1982-09-01,Prince Edward Island,39000
1982-09-01,Quebec,2251000
1982-10-01,Alberta,793000
1982-10-01,British Columbia,1046000
1982-10-01,Canada,8583000
1982-10-01,Manitoba,367000
1982-10-01,New Brunswick,222000
1982-10-01,Newfoundland and Labrador,153000
1982-10-01,Ontario,3090000
1982-10-01,Prince Edward Island,39000
1982-10-01,Quebec,2251000
1982-11-01,Alberta,793000
1982-11-01,British Columbia,1046000
1982-11-01,Canada,8583000
1982-11-01,Manitoba,367000
1982-11-01,New Brunswick,222000
1982-11-01,Newfoundland and Labrador,153000
1982-11-01,Ontario,3090000
1982-11-01,Prince Edward Island,39000
1982-11-01,Quebec,2251000
1982-12-01,Alberta,793000
1982-12-01,British Columbia,1046000
1982-12-01,Canada,8583000
1982-12-01,Manitoba,367000
1982-12-01,New Brunswick,222000
1982-12-01,Newfoundland and Labrador,153000
1982-12-01,Ontario,3090000
1982-12-01,Prince Edward Island,39000
1982-12-01,Quebec,2251000
1983-01-01,Alberta,810000
1983-01-01,British Columbia,1068000
1983-01-01,Canada,8748000
1983-01-01,Manitoba,373000
1983-01-01,New Brunswick,226000
1983-01-01,Newfoundland and Labrador,155000
1983-01-01,Ontario,3150000
1983-01-01,Prince Edward Island,39000
1983-01-01,Quebec,2294000
1983-02-01,Alberta,810000
1983-02-01,British Columbia,1068000
1983-02-01,Canada,8748000
1983-02-01,Manitoba,373000
1983-02-01,New Brunswick,226000
1983-02-01,Newfoundland and Labrador,155000
1983-02-01,Ontario,3150000
1983-02-01,Prince Edward Island,39000
1983-02-01,Quebec,2294000
1983-03-01,Alberta,810000
1983-03-01,British Columbia,1068000
1983-03-01,Canada,8748000
1983-03-01,Manitoba,373000
1983-03-01,New Brunswick,226000
1983-03-01,Newfoundland and Labrador,155000
1983-03-01,Ontario,3150000
1983-03-01,Prince Edward Island,39000
1983-03-01,Quebec,2294000
1983-04-01,Alberta,810000
1983-04-01,British Columbia,1068000
1983-04-01,Canada,8748000
1983-04-01,Manitoba,373000
1983-04-01,New Brunswick,226000
1983-04-01,Newfoundland and Labrador,155000
1983-04-01,Ontario,3150000
1983-04-01,Prince Edward Island,39000
1983-04-01,Quebec,2294000
1983-05-01,Alberta,810000
1983-05-01,British Columbia,1068000
1983-05-01,Canada,8748000
1983-05-01,Manitoba,373000
