"REF_DATE","GEO","DGUID","Index categories","Base year","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1971","Ontario","","Teachers' salaries sub-index","Base year 1992=100","Index","160","units ","0","v1026985","7.3.2","23.08","","","","2"
"1971","Ontario","","Non-teaching salaries sub-index","Base year 1986=100","Index","160","units ","0","v1026986","7.4.1","27.76","","","","2"
"1971","Ontario","","Non-teaching salaries sub-index","Base year 1992=100","Index","160","units ","0","v1026987","7.4.2","22.55","","","","2"
"1971","Ontario","","Non-salary sub-index","Base year 1986=100","Index","160","units ","0","v1026988","7.5.1","26.90","","","","2"
"1971","Ontario","","Non-salary sub-index","Base year 1992=100","Index","160","units ","0","v1026989","7.5.2","20.50","","","","2"
"1971","Ontario","","Instructional supplies sub-index","Base year 1986=100","Index","160","units ","0","v1026990","7.6.1","28.19","","","","2"
"1971","Ontario","","Instructional supplies sub-index","Base year 1992=100","Index","160","units ","0","v1026991","7.6.2","23.06","","","","2"
"1971","Ontario","","School facilities, supplies and services sub-index","Base year 1986=100","Index","160","units ","0","v1026992","7.7.1","23.48","","","","2"
"1971","Ontario","","School facilities, supplies and services sub-index","Base year 1992=100","Index","160","units ","0","v1026993","7.7.2","19.82","","","","2"
"1971","Ontario","","Fees and contractual services sub-index","Base year 1986=100","Index","160","units ","0","v1026994","7.8.1","30.07","","","","2"
"1971","Ontario","","Fees and contractual services sub-index","Base year 1992=100","Index","160","units ","0","v1026995","7.8.2","20.24","","","","2"
"1971","Manitoba","","Education price index (EPI)","Base year 1986=100","Index","160","units ","0","v1026996","8.1.1","29.49","","","","2"
"1971","Manitoba","","Education price index (EPI)","Base year 1992=100","Index","160","units ","0","v1026997","8.1.2","23.72","","","","2"
"1971","Manitoba","","Salaries and wages sub-index","Base year 1986=100","Index","160","units ","0","v1026998","8.2.1","29.88","","","","2"
"1971","Manitoba","","Salaries and wages sub-index","Base year 1992=100","Index","160","units ","0","v1026999","8.2.2","24.02","","","","2"
"1971","Manitoba","","Teachers' salaries sub-index","Base year 1986=100","Index","160","units ","0","v1027000","8.3.1","30.22","","","","2"
"1971","Manitoba","","Teachers' salaries sub-index","Base year 1992=100","Index","160","units ","0","v1027001","8.3.2","24.25","","","","2"
"1971","Manitoba","","Non-teaching salaries sub-index","Base year 1986=100","Index","160","units ","0","v1027002","8.4.1","27.85","","","","2"
"1971","Manitoba","","Non-teaching salaries sub-index","Base year 1992=100","Index","160","units ","0","v1027003","8.4.2","22.74","","","","2"
