"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1989","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3087878","","","","0"
"1990","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3134068","","","","0"
"1991","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3165867","","","","0"
"1992","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3205311","","","","0"
"1993","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3234214","","","","0"
"1994","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3256663","","","","0"
"1995","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3269470","","","","0"
"1996","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3276837","","","","0"
"1997","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3273048","","","","0"
"1998","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3264161","","","","0"
"1999","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3245686","","","","0"
"2000","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3228985","","","","0"
"2001","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3210965","","","","0"
"2002","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3196193","","","","0"
"2003","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3178860","","","","0"
"2004","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3168084","","","","0"
"2005","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3151139","","","","0"
"2006","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3125797","","","","0"
"2007","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3109600","","","","0"
"2008","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3106389","","","","0"
"2009","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3109319","","","","0"
"2010","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3110713","","","","0"
"2011","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3106135","","","","0"
"2012","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3112006","","","","0"
"2013","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3126981","","","","0"
"2014","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3145878","","","","0"
"2015","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3165397","","","","0"
"2016","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3195590","","","","0"
"2017","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3229059","","","","0"
"2018","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3272196","","","","0"
"2019","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3310285","","","","0"
"2020","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3336407","","","","0"
"2021","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3336908","","","","0"
"2022","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3360815","","","","0"
"2023","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3402101","","","","0"
"2024","Canada","2016A000011124","Men+","0 to 15 years","Persons","249","units","0","v466960","1.2.92","3447295","","","","0"
"1971","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3749056","","","","0"
"1972","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3705747","","","","0"
"1973","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3663049","","","","0"
"1974","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3621779","","","","0"
"1975","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3589937","","","","0"
"1976","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3551254","","","","0"
"1977","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3499519","","","","0"
"1978","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3439564","","","","0"
"1979","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3386043","","","","0"
"1980","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3342729","","","","0"
"1981","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3297749","","","","0"
"1982","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3260603","","","","0"
"1983","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3237813","","","","0"
"1984","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3226780","","","","0"
"1985","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3223359","","","","0"
"1986","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3216952","","","","0"
"1987","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3227445","","","","0"
"1988","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3240530","","","","0"
"1989","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3280018","","","","0"
"1990","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3325590","","","","0"
"1991","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3364506","","","","0"
"1992","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3404007","","","","0"
"1993","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3432018","","","","0"
"1994","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3455519","","","","0"
"1995","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3473139","","","","0"
"1996","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3485593","","","","0"
"1997","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3483698","","","","0"
"1998","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3473886","","","","0"
"1999","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3457674","","","","0"
"2000","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3444216","","","","0"
"2001","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3429297","","","","0"
"2002","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3414330","","","","0"
"2003","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3393104","","","","0"
"2004","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3382156","","","","0"
"2005","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3375368","","","","0"
"2006","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3358805","","","","0"
"2007","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3340471","","","","0"
"2008","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3332524","","","","0"
"2009","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3334237","","","","0"
"2010","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3335772","","","","0"
"2011","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3332374","","","","0"
"2012","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3332831","","","","0"
"2013","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3340029","","","","0"
"2014","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3354285","","","","0"
"2015","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3372961","","","","0"
"2016","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3405949","","","","0"
"2017","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3432840","","","","0"
"2018","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3473948","","","","0"
"2019","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3514941","","","","0"
"2020","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3546669","","","","0"
"2021","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3546483","","","","0"
"2022","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3575954","","","","0"
"2023","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3625798","","","","0"
"2024","Canada","2016A000011124","Men+","0 to 16 years","Persons","249","units","0","v466963","1.2.93","3681912","","","","0"
"1971","Canada","2016A000011124","Men+","0 to 17 years","Persons","249","units","0","v466966","1.2.94","3970320","","","","0"
"1972","Canada","2016A000011124","Men+","0 to 17 years","Persons","249","units","0","v466966","1.2.94","3936224","","","","0"
"1973","Canada","2016A000011124","Men+","0 to 17 years","Persons","249","units","0","v466966","1.2.94","3894440","","","","0"
"1974","Canada","2016A000011124","Men+","0 to 17 years","Persons","249","units","0","v466966","1.2.94","3856109","","","","0"
"1975","Canada","2016A000011124","Men+","0 to 17 years","Persons","249","units","0","v466966","1.2.94","3828481","","","","0"
"1976","Canada","2016A000011124","Men+","0 to 17 years","Persons","249","units","0","v466966","1.2.94","3793147","","","","0"
"1977","Canada","2016A000011124","Men+","0 to 17 years","Persons","249","units","0","v466966","1.2.94","3747766","","","","0"
"1978","Canada","2016A000011124","Men+","0 to 17 years","Persons","249","units","0","v466966","1.2.94","3690463","","","","0"
"1979","Canada","2016A000011124","Men+","0 to 17 years","Persons","249","units","0","v466966","1.2.94","3630332","","","","0"
"1980","Canada","2016A000011124","Men+","0 to 17 years","Persons","249","units","0","v466966","1.2.94","3592794","","","","0"
"1981","Canada","2016A000011124","Men+","0 to 17 years","Persons","249","units","0","v466966","1.2.94","3546787","","","","0"
"1982","Canada","2016A000011124","Men+","0 to 17 years","Persons","249","units","0","v466966","1.2.94","3501875","","","","0"
"1983","Canada","2016A000011124","Men+","0 to 17 years","Persons","249","units","0","v466966","1.2.94","3460005","","","","0"
"1984","Canada","2016A000011124","Men+","0 to 17 years","Persons","249","units","0","v466966","1.2.94","3434452","","","","0"
"1985","Canada","2016A000011124","Men+","0 to 17 years","Persons","249","units","0","v466966","1.2.94","3423613","","","","0"
"1986","Canada","2016A000011124","Men+","0 to 17 years","Persons","249","units","0","v466966","1.2.94","3417702","","","","0"
"1987","Canada","2016A000011124","Men+","0 to 17 years","Persons","249","units","0","v466966","1.2.94","3431653","","","","0"
"1988","Canada","2016A000011124","Men+","0 to 17 years","Persons","249","units","0","v466966","1.2.94","3445669","","","","0"
"1989","Canada","2016A000011124","Men+","0 to 17 years","Persons","249","units","0","v466966","1.2.94","3476746","","","","0"
"1990","Canada","2016A000011124","Men+","0 to 17 years","Persons","249","units","0","v466966","1.2.94","3521278","","","","0"
"1991","Canada","2016A000011124","Men+","0 to 17 years","Persons","249","units","0","v466966","1.2.94","3559458","","","","0"
"1992","Canada","2016A000011124","Men+","0 to 17 years","Persons","249","units","0","v466966","1.2.94","3604185","","","","0"
"1993","Canada","2016A000011124","Men+","0 to 17 years","Persons","249","units","0","v466966","1.2.94","3632165","","","","0"
"1994","Canada","2016A000011124","Men+","0 to 17 years","Persons","249","units","0","v466966","1.2.94","3655832","","","","0"
"1995","Canada","2016A000011124","Men+","0 to 17 years","Persons","249","units","0","v466966","1.2.94","3674342","","","","0"
"1996","Canada","2016A000011124","Men+","0 to 17 years","Persons","249","units","0","v466966","1.2.94","3691888","","","","0"
