REF_DATE,Province,Number_of_Households
1980-07,Ontario,2960
1980-07,Prince Edward Island,37
1980-07,Quebec,2156
1980-07,Saskatchewan,327
1980-08,Alberta,739
1980-08,British Columbia,990
1980-08,Manitoba,355
1980-08,New Brunswick,213
1980-08,Newfoundland and Labrador,147
1980-08,Nova Scotia,270
1980-08,Ontario,2960
1980-08,Prince Edward Island,37
1980-08,Quebec,2156
1980-08,Saskatchewan,327
1980-09,Alberta,739
1980-09,British Columbia,990
1980-09,Manitoba,355
1980-09,New Brunswick,213
1980-09,Newfoundland and Labrador,147
1980-09,Nova Scotia,270
1980-09,Ontario,2960
1980-09,Prince Edward Island,37
1980-09,Quebec,2156
1980-09,Saskatchewan,327
1980-10,Alberta,739
1980-10,British Columbia,990
1980-10,Manitoba,355
1980-10,New Brunswick,213
1980-10,Newfoundland and Labrador,147
1980-10,Nova Scotia,270
1980-10,Ontario,2960
1980-10,Prince Edward Island,37
1980-10,Quebec,2156
1980-10,Saskatchewan,327
1980-11,Alberta,739
1980-11,British Columbia,990
1980-11,Manitoba,355
1980-11,New Brunswick,213
1980-11,Newfoundland and Labrador,147
1980-11,Nova Scotia,270
1980-11,Ontario,2960
1980-11,Prince Edward Island,37
1980-11,Quebec,2156
1980-11,Saskatchewan,327
1980-12,Alberta,739
1980-12,British Columbia,990
1980-12,Manitoba,355
1980-12,New Brunswick,213
1980-12,Newfoundland and Labrador,147
1980-12,Nova Scotia,270
1980-12,Ontario,2960
1980-12,Prince Edward Island,37
1980-12,Quebec,2156
1980-12,Saskatchewan,327
1981-01,Alberta,777
1981-01,British Columbia,1025
1981-01,Manitoba,361
1981-01,New Brunswick,218
1981-01,Newfoundland and Labrador,151
1981-01,Nova Scotia,276
1981-01,Ontario,3030
1981-01,Prince Edward Island,38
1981-01,Quebec,2209
1981-01,Saskatchewan,335
1981-02,Alberta,777
1981-02,British Columbia,1025
1981-02,Manitoba,361
1981-02,New Brunswick,218
1981-02,Newfoundland and Labrador,151
1981-02,Nova Scotia,276
1981-02,Ontario,3030
1981-02,Prince Edward Island,38
1981-02,Quebec,2209
1981-02,Saskatchewan,335
1981-03,Alberta,777
1981-03,British Columbia,1025
1981-03,Manitoba,361
1981-03,New Brunswick,218
1981-03,Newfoundland and Labrador,151
1981-03,Nova Scotia,276
1981-03,Ontario,3030
1981-03,Prince Edward Island,38
1981-03,Quebec,2209
1981-03,Saskatchewan,335
1981-04,Alberta,777
1981-04,British Columbia,1025
1981-04,Manitoba,361
1981-04,New Brunswick,218
1981-04,Newfoundland and Labrador,151
1981-04,Nova Scotia,276
1981-04,Ontario,3030
1981-04,Prince Edward Island,38
1981-04,Quebec,2209
1981-04,Saskatchewan,335
1981-05,Alberta,777
1981-05,British Columbia,1025
1981-05,Manitoba,361
1981-05,New Brunswick,218
1981-05,Newfoundland and Labrador,151
1981-05,Nova Scotia,276
1981-05,Ontario,3030
1981-05,Prince Edward Island,38
1981-05,Quebec,2209
1981-05,Saskatchewan,335
1981-06,Alberta,777
1981-06,British Columbia,1025
1981-06,Manitoba,361
1981-06,New Brunswick,218
1981-06,Newfoundland and Labrador,151
1981-06,Nova Scotia,276
1981-06,Ontario,3030
1981-06,Prince Edward Island,38
1981-06,Quebec,2209
1981-06,Saskatchewan,335
1981-07,Alberta,777
1981-07,British Columbia,1025
1981-07,Manitoba,361
1981-07,New Brunswick,218
1981-07,Newfoundland and Labrador,151
1981-07,Nova Scotia,276
