REF_DATE,Province,Number_of_Households
1980-09-30,British Columbia,990
1980-09-30,Manitoba,355
1980-09-30,New Brunswick,213
1980-09-30,Newfoundland and Labrador,147
1980-09-30,Nova Scotia,270
1980-09-30,Ontario,2960
1980-09-30,Prince Edward Island,37
1980-09-30,Quebec,2156
1980-09-30,Saskatchewan,327
1980-10-31,Alberta,739
1980-10-31,British Columbia,990
1980-10-31,Manitoba,355
1980-10-31,New Brunswick,213
1980-10-31,Newfoundland and Labrador,147
1980-10-31,Nova Scotia,270
1980-10-31,Ontario,2960
1980-10-31,Prince Edward Island,37
1980-10-31,Quebec,2156
1980-10-31,Saskatchewan,327
1980-11-30,Alberta,739
1980-11-30,British Columbia,990
1980-11-30,Manitoba,355
1980-11-30,New Brunswick,213
1980-11-30,Newfoundland and Labrador,147
1980-11-30,Nova Scotia,270
1980-11-30,Ontario,2960
1980-11-30,Prince Edward Island,37
1980-11-30,Quebec,2156
1980-11-30,Saskatchewan,327
1980-12-31,Alberta,739
1980-12-31,British Columbia,990
1980-12-31,Manitoba,355
1980-12-31,New Brunswick,213
1980-12-31,Newfoundland and Labrador,147
1980-12-31,Nova Scotia,270
1980-12-31,Ontario,2960
1980-12-31,Prince Edward Island,37
1980-12-31,Quebec,2156
1980-12-31,Saskatchewan,327
1981-01-31,Alberta,777
1981-01-31,British Columbia,1025
1981-01-31,Manitoba,361
1981-01-31,New Brunswick,218
1981-01-31,Newfoundland and Labrador,151
1981-01-31,Nova Scotia,276
1981-01-31,Ontario,3030
1981-01-31,Prince Edward Island,38
1981-01-31,Quebec,2209
1981-01-31,Saskatchewan,335
1981-02-28,Alberta,777
1981-02-28,British Columbia,1025
1981-02-28,Manitoba,361
1981-02-28,New Brunswick,218
1981-02-28,Newfoundland and Labrador,151
1981-02-28,Nova Scotia,276
1981-02-28,Ontario,3030
1981-02-28,Prince Edward Island,38
1981-02-28,Quebec,2209
1981-02-28,Saskatchewan,335
1981-03-31,Alberta,777
1981-03-31,British Columbia,1025
1981-03-31,Manitoba,361
1981-03-31,New Brunswick,218
1981-03-31,Newfoundland and Labrador,151
1981-03-31,Nova Scotia,276
1981-03-31,Ontario,3030
1981-03-31,Prince Edward Island,38
1981-03-31,Quebec,2209
1981-03-31,Saskatchewan,335
1981-04-30,Alberta,777
1981-04-30,British Columbia,1025
1981-04-30,Manitoba,361
1981-04-30,New Brunswick,218
1981-04-30,Newfoundland and Labrador,151
1981-04-30,Nova Scotia,276
1981-04-30,Ontario,3030
1981-04-30,Prince Edward Island,38
1981-04-30,Quebec,2209
1981-04-30,Saskatchewan,335
1981-05-31,Alberta,777
1981-05-31,British Columbia,1025
1981-05-31,Manitoba,361
1981-05-31,New Brunswick,218
1981-05-31,Newfoundland and Labrador,151
1981-05-31,Nova Scotia,276
1981-05-31,Ontario,3030
1981-05-31,Prince Edward Island,38
1981-05-31,Quebec,2209
1981-05-31,Saskatchewan,335
1981-06-30,Alberta,777
1981-06-30,British Columbia,1025
1981-06-30,Manitoba,361
1981-06-30,New Brunswick,218
1981-06-30,Newfoundland and Labrador,151
1981-06-30,Nova Scotia,276
1981-06-30,Ontario,3030
1981-06-30,Prince Edward Island,38
1981-06-30,Quebec,2209
1981-06-30,Saskatchewan,335
1981-07-31,Alberta,777
1981-07-31,British Columbia,1025
1981-07-31,Manitoba,361
1981-07-31,New Brunswick,218
1981-07-31,Newfoundland and Labrador,151
1981-07-31,Nova Scotia,276
1981-07-31,Ontario,3030
1981-07-31,Prince Edward Island,38
1981-07-31,Quebec,2209
1981-07-31,Saskatchewan,335
1981-08-31,Alberta,777
1981-08-31,British Columbia,1025
1981-08-31,Manitoba,361
1981-08-31,New Brunswick,218
1981-08-31,Newfoundland and Labrador,151
1981-08-31,Nova Scotia,276
1981-08-31,Ontario,3030
1981-08-31,Prince Edward Island,38
1981-08-31,Quebec,2209
1981-08-31,Saskatchewan,335
1981-09-30,Alberta,777
1981-09-30,British Columbia,1025
1981-09-30,Manitoba,361
1981-09-30,New Brunswick,218
1981-09-30,Newfoundland and Labrador,151
1981-09-30,Nova Scotia,276
1981-09-30,Ontario,3030
1981-09-30,Prince Edward Island,38
1981-09-30,Quebec,2209
1981-09-30,Saskatchewan,335
1981-10-31,Alberta,777
1981-10-31,British Columbia,1025
1981-10-31,Manitoba,361
1981-10-31,New Brunswick,218
1981-10-31,Newfoundland and Labrador,151
1981-10-31,Nova Scotia,276
1981-10-31,Ontario,3030
1981-10-31,Prince Edward Island,38
1981-10-31,Quebec,2209
1981-10-31,Saskatchewan,335
1981-11-30,Alberta,777
1981-11-30,British Columbia,1025
1981-11-30,Manitoba,361
1981-11-30,New Brunswick,218
1981-11-30,Newfoundland and Labrador,151
1981-11-30,Nova Scotia,276
1981-11-30,Ontario,3030
1981-11-30,Prince Edward Island,38
1981-11-30,Quebec,2209
1981-11-30,Saskatchewan,335
1981-12-31,Alberta,777
1981-12-31,British Columbia,1025
1981-12-31,Manitoba,361
1981-12-31,New Brunswick,218
1981-12-31,Newfoundland and Labrador,151
1981-12-31,Nova Scotia,276
1981-12-31,Ontario,3030
1981-12-31,Prince Edward Island,38
1981-12-31,Quebec,2209
1981-12-31,Saskatchewan,335
1982-01-31,Alberta,793
1982-01-31,British Columbia,1046
1982-01-31,Manitoba,367
1982-01-31,New Brunswick,222
1982-01-31,Newfoundland and Labrador,153
1982-01-31,Nova Scotia,281
1982-01-31,Ontario,3090
1982-01-31,Prince Edward Island,39
1982-01-31,Quebec,2251
1982-01-31,Saskatchewan,341
1982-02-28,Alberta,793
1982-02-28,British Columbia,1046
