Year,Province,Total PRs,Total TRs,Total Births,Total Deaths,Population Estimate,Net Change,Population Growth Rate (%),Immigration Contribution (%),Birth-Death Ratio,Migration Ratio (PRs/TRs)
1998,Ontario,0.0,0.0,398442.0,80184.0,11347200.5,318258.0,1.2402288834554076,0.0,4.969096079018258,0.0
1998,Prince Edward Island,0.0,0.0,4514.0,1207.0,135821.25,3307.0,-0.15455978946052884,0.0,3.739850869925435,0.0
1998,Quebec,0.0,0.0,227455.0,54181.0,7294435.5,173274.0,0.3076672169347372,0.0,4.198058359941677,0.0
1998,Saskatchewan,0.0,0.0,38341.0,8905.0,1017422.25,29436.0,-0.04047810338471125,0.0,4.30555867490174,0.0
1998,Unknown province or territory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,Unknown province or territory of residence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998,Yukon,0.0,0.0,1188.0,135.0,31214.0,1053.0,-1.4126100517193763,0.0,8.8,0.0
1999,Alberta,0.0,0.0,114506.0,17206.0,2945711.5,97300.0,2.0079898501459414,0.0,6.6550040683482505,0.0
1999,British Columbia,0.0,0.0,125741.0,28017.0,4007762.75,97724.0,0.6703843818034683,0.0,4.488025127601099,0.0
1999,Manitoba,0.0,0.0,42912.0,9860.0,1141378.5,33052.0,0.39030169551454996,0.0,4.352129817444219,0.0
1999,New Brunswick,0.0,0.0,22837.0,6074.0,750361.5,16763.0,-0.0945648668053356,0.0,3.7597958511689167,0.0
1999,Newfoundland and Labrador,0.0,0.0,15147.0,4139.0,534147.0,11008.0,-1.3578491956829142,0.0,3.659579608601111,0.0
1999,Northwest Territories,0.0,0.0,2550.0,162.0,40639.25,2388.0,0.0,0.0,15.74074074074074,0.0
1999,Northwest Territories including Nunavut,0.0,0.0,4193.0,289.0,0.0,3904.0,0.0,0.0,14.508650519031141,0.0
1999,Nova Scotia,0.0,0.0,28865.0,7640.0,933496.5,21225.0,0.12946622267009378,0.0,3.7781413612565444,0.0
1999,Nunavut,0.0,0.0,1643.0,127.0,26778.25,1516.0,0.0,0.0,12.937007874015748,0.0
1999,Ontario,0.0,0.0,394093.0,81393.0,11484167.25,312700.0,1.207053228679622,0.0,4.841853722064551,0.0
1999,Prince Edward Island,0.0,0.0,4532.0,1137.0,136181.0,3395.0,0.264870187838806,0.0,3.985927880386983,0.0
1999,Quebec,0.0,0.0,220649.0,54592.0,7320815.75,166057.0,0.3616489583052829,0.0,4.041782678780773,0.0
1999,Saskatchewan,0.0,0.0,37815.0,9044.0,1014926.25,28771.0,-0.2453258713380757,0.0,4.181225121627598,0.0
1999,Unknown province or territory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,Unknown province or territory of residence,0.0,0.0,0.0,8.0,0.0,-8.0,0.0,-0.0,0.0,0.0
1999,Yukon,0.0,0.0,1149.0,135.0,30685.75,1014.0,-1.692349586723907,0.0,8.511111111111111,0.0
2000,Alberta,0.0,9430.0,110994.0,17273.0,2996031.75,103151.0,1.7082545252649517,9.14193754786672,6.425866959995369,0.0
2000,British Columbia,0.0,32885.0,121966.0,27460.0,4037127.5,127391.0,0.732696814450895,25.814225494736675,4.441587764020393,0.0
2000,Manitoba,0.0,2830.0,42254.0,9892.0,1146449.25,35192.0,0.44426542115520995,8.041600363719027,4.271532551556813,0.0
2000,New Brunswick,0.0,1825.0,22053.0,6088.0,750524.5,17790.0,0.02172286291339809,10.258572231590781,3.622371879106439,0.0
2000,Newfoundland and Labrador,0.0,690.0,14610.0,4339.0,529011.5,10961.0,-0.9614394539330884,6.295046072438646,3.3671352846277944,0.0
2000,Northwest Territories,0.0,25.0,2414.0,157.0,40533.25,2282.0,-0.2608315852285714,1.0955302366345312,15.375796178343949,0.0
2000,Northwest Territories including Nunavut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,Nova Scotia,0.0,3075.0,27500.0,7879.0,934291.25,22696.0,0.08513690195945944,13.548642932675362,3.4902906460210685,0.0
2000,Nunavut,0.0,0.0,1803.0,130.0,27388.5,1673.0,2.2789017206128026,0.0,13.86923076923077,0.0
2000,Ontario,0.0,46120.0,383449.0,81290.0,11657471.75,348279.0,1.5090732852223177,13.242256926199971,4.717050067658999,0.0
2000,Prince Edward Island,0.0,235.0,4323.0,1229.0,136400.25,3329.0,0.16099896461327923,7.059176930009012,3.517493897477624,0.0
2000,Province / Territory not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,Quebec,0.0,22770.0,215952.0,53190.0,7353292.75,185532.0,0.4436254252130345,12.272815471185563,4.060011280315849,0.0
2000,Saskatchewan,0.0,2690.0,36435.0,8956.0,1008477.5,30169.0,-0.6353909951585135,8.916437402631841,4.068222420723537,0.0
2000,Unknown province or territory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,Unknown province or territory of residence,0.0,0.0,0.0,46.0,0.0,-46.0,0.0,-0.0,0.0,0.0
2000,Yukon,0.0,45.0,1109.0,156.0,30400.5,998.0,-0.9295845791613355,4.509018036072145,7.108974358974359,0.0
2001,Alberta,0.0,10640.0,112831.0,17579.0,3051622.25,105892.0,1.8554709909199163,10.047973406867374,6.418510723021788,0.0
2001,British Columbia,0.0,41120.0,121636.0,28353.0,4070963.0,134403.0,0.8381082836744769,30.594555181059945,4.290057489507284,0.0
2001,Manitoba,0.0,3205.0,42005.0,9734.0,1150433.75,35476.0,0.3475513634816352,9.034276694103054,4.3152866242038215,0.0
2001,New Brunswick,0.0,2305.0,21581.0,6062.0,749656.25,17824.0,-0.11568576375587947,12.932001795332138,3.5600461893764432,0.0
2001,Newfoundland and Labrador,0.0,725.0,14151.0,4151.0,523040.0,10725.0,-1.128803438110515,6.75990675990676,3.409058058299205,0.0
2001,Northwest Territories,0.0,30.0,1857.0,163.0,40818.5,1724.0,0.7037432231562946,1.740139211136891,11.392638036809815,0.0
2001,Northwest Territories including Nunavut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,Nova Scotia,0.0,3685.0,26859.0,7879.0,933043.25,22665.0,-0.1335771901963101,16.25854842267814,3.408935144053814,0.0
2001,Nunavut,0.0,0.0,2108.0,123.0,28009.75,1985.0,2.268287785019263,0.0,17.13821138211382,0.0
2001,Ontario,0.0,55765.0,396736.0,81214.0,11864577.25,371287.0,1.776590194181682,15.019378540051227,4.885069076760164,0.0
2001,Prince Edward Island,0.0,255.0,4136.0,1160.0,136604.75,3231.0,0.14992641142519414,7.892293407613741,3.56551724137931,0.0
2001,Province / Territory not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,Quebec,0.0,25090.0,221002.0,54194.0,7391230.0,191898.0,0.5159219317087516,13.074654243400138,4.077979112078828,0.0
2001,Saskatchewan,0.0,3055.0,36841.0,8740.0,1001165.0,31156.0,-0.7251029398276154,9.805494928745667,4.215217391304348,0.0
2001,Unknown province or territory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,Unknown province or territory of residence,0.0,0.0,0.0,104.0,0.0,-104.0,0.0,-0.0,0.0,0.0
2001,Yukon,0.0,25.0,1035.0,134.0,30127.5,926.0,-0.8980115458627314,2.699784017278618,7.723880597014926,0.0
2002,Alberta,0.0,11065.0,116059.0,18234.0,3118801.5,108890.0,2.201427453873106,10.161631003765267,6.364977514533289,0.0
2002,British Columbia,0.0,44250.0,120090.0,28883.0,4097537.25,135457.0,0.6527755226465981,32.667193279047964,4.1578090918533395,0.0
2002,Manitoba,0.0,3715.0,41653.0,9849.0,1155379.5,35519.0,0.4299030691684802,10.459190855598411,4.2291603208447555,0.0
2002,New Brunswick,0.0,2775.0,21134.0,6096.0,749052.0,17813.0,-0.08060360998790594,15.57851007691012,3.4668635170603674,0.0
2002,Newfoundland and Labrador,0.0,785.0,13928.0,4183.0,520097.0,10530.0,-0.5626720709697164,7.454890788224122,3.3296677026057853,0.0
