REF_DATE,GEO,Housing completions,Housing starts,Housing under construction
2001-09-01,Newfoundland and Labrador,13206.82608695652,15177.660869565218,30209.217391304348
2001-09-01,Nova Scotia,13902.521739130434,15968.017391304349,31839.347826086956
2001-09-01,Ontario,14598.217391304348,16758.373913043477,33469.47826086957
2001-09-01,Prince Edward Island,15293.91304347826,17548.73043478261,35099.608695652176
2001-09-01,Quebec,15989.608695652172,18339.08695652174,36729.739130434784
2001-09-01,Saskatchewan,16685.304347826088,19129.44347826087,38359.86956521739
2001-10-01,Alberta,17381.0,19919.8,39990.0
2001-10-01,British Columbia,8374.0,10946.9,38701.0
2001-10-01,Canada,96071.0,106117.6,259463.0
2001-10-01,Manitoba,1968.0,1400.8,2765.0
2001-10-01,New Brunswick,1966.0,2231.9,4160.0
2001-10-01,Newfoundland and Labrador,1083.0,1015.8,2285.0
2001-10-01,Nova Scotia,2025.0,2424.1,6140.0
2001-10-01,Ontario,44404.0,46380.4,134253.0
2001-10-01,Prince Edward Island,439.0,493.7,719.0
2001-10-01,Quebec,16999.0,19308.0,27562.0
2001-10-01,Saskatchewan,1432.0,1823.9,2888.0
2001-11-01,Alberta,2056.0,2547.8695652173915,4616.304347826087
2001-11-01,British Columbia,2680.0,3271.8391304347824,6344.608695652174
2001-11-01,Canada,3304.0,3995.808695652174,8072.913043478261
2001-11-01,Manitoba,3928.0,4719.778260869565,9801.217391304348
2001-11-01,New Brunswick,4552.0,5443.747826086957,11529.521739130436
2001-11-01,Newfoundland and Labrador,5176.0,6167.717391304348,13257.826086956522
2001-11-01,Nova Scotia,5800.0,6891.6869565217385,14986.130434782608
2001-11-01,Ontario,6424.0,7615.656521739131,16714.434782608696
2001-11-01,Prince Edward Island,7048.0,8339.626086956521,18442.739130434784
2001-11-01,Quebec,7672.0,9063.595652173914,20171.04347826087
2001-11-01,Saskatchewan,8296.0,9787.565217391304,21899.347826086956
2001-12-01,Alberta,8920.0,10511.534782608695,23627.652173913044
2001-12-01,British Columbia,9544.0,11235.504347826087,25355.956521739132
2001-12-01,Canada,10168.0,11959.473913043477,27084.260869565216
2001-12-01,Manitoba,10792.0,12683.44347826087,28812.565217391304
2001-12-01,New Brunswick,11416.0,13407.41304347826,30540.869565217392
2001-12-01,Newfoundland and Labrador,12040.0,14131.38260869565,32269.17391304348
2001-12-01,Nova Scotia,12664.0,14855.352173913043,33997.47826086957
2001-12-01,Ontario,13288.0,15579.321739130433,35725.782608695656
2001-12-01,Prince Edward Island,13912.0,16303.291304347826,37454.08695652174
2001-12-01,Quebec,14536.0,17027.260869565216,39182.391304347824
2001-12-01,Saskatchewan,15160.0,17751.23043478261,40910.69565217391
2002-01-01,Alberta,15784.0,18475.2,42639.0
2002-01-01,British Columbia,10656.0,9621.6,38841.0
2002-01-01,Canada,89348.0,89239.6,258805.0
2002-01-01,Manitoba,1085.0,1021.4,2694.0
2002-01-01,New Brunswick,2056.0,454.4,2089.0
2002-01-01,Newfoundland and Labrador,1072.0,328.3,1325.0
2002-01-01,Nova Scotia,3499.0,1630.6,3597.0
2002-01-01,Ontario,43170.0,40323.9,131266.0
2002-01-01,Prince Edward Island,571.0,70.5,219.0
2002-01-01,Quebec,10488.0,16196.5,33302.0
2002-01-01,Saskatchewan,967.0,910.4,2833.0
2002-02-01,Alberta,1681.2608695652175,1966.1478260869562,4894.391304347826
2002-02-01,British Columbia,2395.521739130435,3021.895652173913,6955.782608695652
